Programming_Language,Concept,Explanation
none,aggregation,"Aggregation is a specialized form of composition where the contained object can exist independently (e.g., a Department has Employees)."
none,association,"Association is a general relationship between classes, indicating they are connected, often implemented via references."
none,dependency injection,"Dependency injection provides a class’s dependencies externally (e.g., via constructors), improving modularity and testability."
none,single responsibility principle,"The single responsibility principle states that a class should have only one reason to change, focusing on a single task."
none,open closed principle,"The open-closed principle states that classes should be open for extension but closed for modification, often via inheritance."
none,liskov substitution principle,"The Liskov substitution principle ensures that a subclass can replace its superclass without breaking program behavior."
none,interface segregation principle,"The interface segregation principle states that classes should not be forced to implement interfaces they don’t use."
none,dependency inversion principle,"The dependency inversion principle states that high-level modules should not depend on low-level ones; both should depend on abstractions."
none,design patterns,"Design patterns are reusable solutions to common software design problems, like singleton, factory, or observer."
none,singleton pattern,"The singleton pattern ensures a class has only one instance and provides a global access point to it."
none,factory pattern,"The factory pattern defines an interface for creating objects, letting subclasses decide which class to instantiate."
none,arrays,"Arrays are fixed-size, ordered collections of elements of the same type, accessed by index (e.g., int[] arr = new int[5])."
none,lists,"Lists are dynamic, ordered collections that allow adding or removing elements, often implemented as ArrayList or LinkedList."
none,linked lists,"Linked lists are linear data structures where elements (nodes) contain data and a reference to the next node."
none,singly linked list,"A singly linked list has nodes with a data element and a reference to the next node, forming a one-directional chain."
none,doubly linked list,"A doubly linked list has nodes with references to both the next and previous nodes, allowing bidirectional traversal."
none,circular linked list,"A circular linked list connects the last node to the first, forming a loop, either singly or doubly linked."
none,stacks,"Stacks are LIFO (Last In, First Out) data structures supporting push (add) and pop (remove) operations."
none,queues,"Queues are FIFO (First In, First Out) data structures where elements are added at the rear and removed from the front."
none,priority queues,"Priority queues are queues where elements have priorities, and the highest-priority element is dequeued first."
none,deques,"Deques (double-ended queues) allow adding or removing elements from both ends, supporting stack and queue operations."
none,trees,"Trees are hierarchical data structures with nodes connected by edges, starting from a root node."
none,binary trees,"Binary trees are trees where each node has at most two children, referred to as left and right children."
none,binary search trees,"Binary search trees are binary trees where the left child’s value is less than the parent’s, and the right child’s is greater."
none,avl trees,"AVL trees are self-balancing binary search trees where the height difference between subtrees is at most one."
none,red black trees,"Red-black trees are self-balancing binary search trees using color properties to maintain balance during insertions/deletions."
none,heaps,"Heaps are binary trees where the parent’s value is greater (max-heap) or smaller (min-heap) than its children’s."
none,min heap,"A min-heap is a heap where the parent’s value is less than or equal to its children’s, with the smallest value at the root."
none,max heap,"A max-heap is a heap where the parent’s value is greater than or equal to its children’s, with the largest value at the root."
none,graphs,"Graphs are collections of nodes (vertices) connected by edges, representing relationships between entities."
none,directed graphs,"Directed graphs have edges with direction, indicating one-way relationships between nodes."
none,undirected graphs,"Undirected graphs have edges without direction, indicating bidirectional relationships between nodes."
none,adjacency matrix,"An adjacency matrix represents a graph as a 2D array where matrix[i][j] indicates an edge between nodes i and j."
none,adjacency list,"An adjacency list represents a graph as a list where each node stores a list of its neighboring nodes."
none,hash tables,"Hash tables store key-value pairs, using a hash function to map keys to indices for fast retrieval."
none,hash functions,"Hash functions convert keys into indices for hash table storage, aiming to minimize collisions."
none,collision resolution,"Collision resolution handles cases where multiple keys map to the same index, using techniques like chaining or open addressing."
none,sets,"Sets are collections of unique elements, supporting operations like union, intersection, and difference."
none,maps,"Maps are collections of key-value pairs where keys are unique, allowing efficient lookup by key."
none,tries,"Tries are tree-like structures used to store strings, where each node represents a character, efficient for prefix-based searches."
none,bloom filters,"Bloom filters are probabilistic data structures used to test whether an element is likely in a set, with possible false positives."
none,sorting algorithms,"Sorting algorithms arrange elements in a specific order (e.g., ascending), like bubble sort or quick sort."
none,bubble sort,"Bubble sort repeatedly swaps adjacent elements if they are in the wrong order, with a time complexity of O(n^2)."
none,selection sort,"Selection sort repeatedly selects the smallest element from the unsorted portion and places it at the beginning, O(n^2)."
none,insertion sort,"Insertion sort builds a sorted array by inserting each element into its correct position, O(n^2) but efficient for small datasets."
none,merge sort,"Merge sort divides the array into halves, recursively sorts them, and merges them, with O(n log n) time complexity."
none,quick sort,"Quick sort picks a pivot, partitions the array around it, and recursively sorts subarrays, averaging O(n log n)."
none,heap sort,"Heap sort uses a max-heap to repeatedly extract the largest element, placing it at the end, with O(n log n) complexity."
none,radix sort,"Radix sort sorts integers by processing digits from least to most significant, with O(nk) complexity, where k is digit length."
none,counting sort,"Counting sort counts occurrences of each value and constructs a sorted array, with O(n+k) complexity, where k is the range."
none,searching algorithms,"Searching algorithms find an element in a data structure, like linear search or binary search."
none,linear search,"Linear search checks each element in a list sequentially until the target is found, with O(n) complexity."
none,binary search,"Binary search finds a target in a sorted array by repeatedly dividing the search interval in half, with O(log n) complexity."
none,depth first search,"Depth-first search explores a graph by diving as deep as possible along each branch before backtracking."
none,breadth first search,"Breadth-first search explores a graph level by level, visiting all neighbors before moving deeper."
none,dijkstras algorithm,"Dijkstra’s algorithm finds the shortest path in a weighted graph from a source to all vertices, using a priority queue."
none,a star algorithm,"A* algorithm finds the shortest path in a graph using heuristics to guide the search, often used in pathfinding."
none,bellman ford algorithm,"Bellman-Ford algorithm finds shortest paths in a weighted graph, handling negative edge weights, with O(VE) complexity."
none,floyd warshall algorithm,"Floyd-Warshall algorithm finds shortest paths between all pairs of vertices in a weighted graph, with O(V^3) complexity."
none,kruskals algorithm,"Kruskal’s algorithm finds a minimum spanning tree in a graph by greedily adding the smallest edges, avoiding cycles."
none,prims algorithm,"Prim’s algorithm finds a minimum spanning tree by growing a tree from a starting vertex, adding the smallest edge each time."
none,dynamic programming,"Dynamic programming solves problems by breaking them into overlapping subproblems, storing results to avoid recomputation."
none,memoization,"Memoization stores results of expensive function calls in a cache to speed up recursive algorithms, used in dynamic programming."
none,knapsack problem,"The knapsack problem involves selecting items with weights and values to maximize value within a weight limit, solved via dynamic programming."
none,longest common subsequence,"The longest common subsequence finds the longest sequence present in two strings, solved using dynamic programming."
none,fibonacci sequence,"The Fibonacci sequence is a series where each number is the sum of the two preceding ones, often computed recursively or iteratively."
none,greedy algorithms,"Greedy algorithms make locally optimal choices at each step, hoping to find a global optimum, like Kruskal’s algorithm."
none,divide and conquer,"Divide and conquer breaks a problem into smaller subproblems, solves them recursively, and combines results, like merge sort."
none,backtracking,"Backtracking systematically explores all possible solutions, abandoning paths that fail to satisfy constraints, like solving a maze."
none,recurrence relations,"Recurrence relations define functions recursively, used to analyze the time complexity of recursive algorithms."
none,big o notation,"Big-O notation describes the upper bound of an algorithm’s runtime or space complexity as input size grows (e.g., O(n))."
none,relational databases,"Relational databases store data in tables with rows and columns, using SQL to query and manage relationships."
none,sql,"SQL (Structured Query Language) is used to query and manipulate data in relational databases, with commands like SELECT and INSERT."
none,tables,"Tables in databases are structured collections of rows (records) and columns (fields) storing related data."
none,primary keys,"Primary keys are unique identifiers for each record in a database table, ensuring no duplicates."
none,foreign keys,"Foreign keys are fields in one table that uniquely identify a row in another table, enforcing referential integrity."
none,indexes,"Indexes are database structures that improve query performance by allowing faster data retrieval, at the cost of storage."
none,normalization,"Normalization organizes a database to reduce redundancy and improve integrity, following rules like 1NF, 2NF, and 3NF."
none,denormalization,"Denormalization intentionally introduces redundancy to improve query performance, often in read-heavy databases."
none,joins,"Joins combine rows from multiple database tables based on related columns, like inner or left join."
none,inner join,"Inner join returns only the rows where there is a match in both tables based on the join condition."
none,left join,"Left join returns all rows from the left table and matching rows from the right table, with NULLs for non-matches."
none,right join,"Right join returns all rows from the right table and matching rows from the left table, with NULLs for non-matches."
none,full join,"Full join returns all rows from both tables, with NULLs in places where there is no match."
none,queries,"Queries are requests to retrieve, insert, update, or delete data in a database, typically written in SQL."
none,select statement,"The SELECT statement retrieves data from a database, specifying columns and conditions (e.g., SELECT name FROM users)."
none,insert statement,"The INSERT statement adds new rows to a database table (e.g., INSERT INTO users VALUES ('Alice', 25))."
none,update statement,"The UPDATE statement modifies existing rows in a database table (e.g., UPDATE users SET age = 26 WHERE name = 'Alice')."
none,delete statement,"The DELETE statement removes rows from a database table (e.g., DELETE FROM users WHERE age < 18)."
none,transactions,"Transactions are sequences of database operations that are executed as a single unit, ensuring ACID properties."
none,acid properties,"ACID properties (Atomicity, Consistency, Isolation, Durability) ensure reliable database transactions."
none,nosql databases,"NoSQL databases store data in non-relational formats like documents, key-value pairs, or graphs, designed for scalability."
none,document stores,"Document stores are NoSQL databases that store data as JSON or BSON documents, like MongoDB."
none,key value stores,"Key-value stores are NoSQL databases that store data as key-value pairs, optimized for simple lookups, like Redis."
none,column family stores,"Column-family stores are NoSQL databases that store data in columns instead of rows, like Cassandra, for big data."
none,graph databases,"Graph databases store data as nodes and edges, optimized for relationships, like Neo4j."
none,mongodb,"MongoDB is a NoSQL document store that stores data in JSON-like documents, supporting flexible schemas."
none,cassandra,"Cassandra is a NoSQL column-family store designed for high availability and scalability across distributed systems."
none,redis,"Redis is an in-memory key-value store used for caching and fast data retrieval, supporting data structures like lists."
none,database schema,"A database schema defines the structure of a database, including tables, columns, and relationships."
none,er diagrams,"ER (Entity-Relationship) diagrams visually represent database schemas, showing entities and their relationships."
none,html,"HTML (HyperText Markup Language) structures content on the web using tags like <div> and <p>."
none,css,"CSS (Cascading Style Sheets) styles HTML elements, controlling layout, colors, and fonts."
none,javascript,"JavaScript is a programming language that adds interactivity to web pages, running in browsers or on servers (Node.js)."
none,dom,"The DOM (Document Object Model) is a tree-like representation of HTML elements, allowing JavaScript to manipulate web content."
none,ajax,"AJAX (Asynchronous JavaScript and XML) enables asynchronous web requests, updating parts of a page without reloading."
none,json,"JSON (JavaScript Object Notation) is a lightweight data format for storing and exchanging data, using key-value pairs."
none,xml,"XML (eXtensible Markup Language) is a markup language for storing and transporting data, using custom tags."
none,apis,"APIs (Application Programming Interfaces) allow different software systems to communicate, exposing specific functions or data."
none,rest,"REST (Representational State Transfer) is an architectural style for designing APIs, using HTTP methods like GET and POST."
none,soap,"SOAP (Simple Object Access Protocol) is a protocol for exchanging structured data in web services, using XML."
none,http methods,"HTTP methods like GET, POST, PUT, and DELETE define actions to perform on web resources."
none,status codes,"HTTP status codes indicate the result of a request, like 200 (OK), 404 (Not Found), or 500 (Server Error)."
none,frontend,"Frontend refers to the client-side of a web application, handling user interfaces and interactions (HTML, CSS, JavaScript)."
none,backend,"Backend refers to the server-side of a web application, managing logic, databases, and APIs."
none,frameworks,"Frameworks are pre-built libraries and tools that simplify development, like React for frontend or Django for backend."
none,react,"React is a JavaScript library for building user interfaces, using components to create reusable UI elements."
none,angular,"Angular is a JavaScript framework for building dynamic web applications, using TypeScript and MVC architecture."
none,vue js,"Vue.js is a JavaScript framework for building user interfaces, known for its simplicity and reactivity."
none,node js,"Node.js is a JavaScript runtime for executing JavaScript on the server, enabling backend development."
none,express js,"Express.js is a Node.js framework for building web applications and APIs, simplifying routing and middleware."
none,django,"Django is a Python framework for building web applications, emphasizing rapid development and security."
none,flask,"Flask is a lightweight Python framework for building web applications, offering flexibility and simplicity."
none,cookies,"Cookies are small data files stored in a browser, used to track user sessions or preferences."
none,sessions,"Sessions store user data on the server during a user’s interaction with a web application, linked via a session ID."
none,authentication,"Authentication verifies a user’s identity, typically through credentials like usernames and passwords."
none,authorization,"Authorization determines what an authenticated user is allowed to do, based on permissions or roles."
none,oauth,"OAuth is an authorization protocol allowing third-party applications to access user data without sharing passwords."
none,jwt,"JWT (JSON Web Token) is a compact token for securely transmitting information between parties, used in authentication."
none,cors,"CORS (Cross-Origin Resource Sharing) is a mechanism allowing or restricting web resources to be requested from another domain."
none,websockets,"WebSockets enable bidirectional, real-time communication between a client and server over a single connection."
none,sdlc,"SDLC (Software Development Life Cycle) is a process for planning, designing, building, testing, and deploying software."
none,agile methodology,"Agile methodology emphasizes iterative development, collaboration, and flexibility to adapt to changing requirements."
none,scrum,"Scrum is an Agile framework using sprints (short cycles) and roles like Scrum Master to manage development."
none,kanban,"Kanban is an Agile method using a visual board to manage tasks, focusing on continuous delivery and workflow."
none,waterfall model,"The waterfall model is a linear SDLC approach where each phase (requirements, design, etc.) completes before the next begins."
none,version control,"Version control tracks changes to code, enabling collaboration and history management, like Git."
none,git,"Git is a distributed version control system for tracking code changes, supporting branching and merging."
none,github,"GitHub is a platform for hosting Git repositories, enabling collaboration, code reviews, and project management."
none,commits,"Commits in Git are snapshots of changes to a repository, recording modifications with a message."
none,branches,"Branches in Git are parallel versions of a repository, allowing independent development before merging."
none,merging,"Merging in Git combines changes from one branch into another, integrating code modifications."
none,pull requests,"Pull requests are requests to merge code from one branch to another, often reviewed before merging."
none,continuous integration,"Continuous integration automatically builds and tests code changes, ensuring early error detection."
none,continuous deployment,"Continuous deployment automatically deploys every code change that passes tests to production."
none,unit testing,"Unit testing tests individual components or functions to ensure they work correctly in isolation."
none,integration testing,"Integration testing verifies that different modules or components work together as expected."
none,regression testing,"Regression testing ensures that new changes have not negatively impacted existing functionality."
none,test driven development,"Test-driven development writes tests before code, ensuring code meets requirements and is testable."
none,behavior driven development,"Behavior-driven development focuses on defining application behavior through user stories and tests."
none,refactoring,"Refactoring improves code structure and readability without changing its functionality, enhancing maintainability."
none,procedural programming,"Procedural programming organizes code into procedures or functions that perform tasks sequentially."
none,functional programming,"Functional programming treats computation as the evaluation of mathematical functions, avoiding state and mutable data."
none,declarative programming,"Declarative programming specifies what the program should do without detailing how, like SQL queries."
none,imperative programming,"Imperative programming specifies explicit steps for the computer to follow, like C or Java."
none,event driven programming,"Event-driven programming responds to user or system events, like clicks or messages, using event handlers."
none,concurrent programming,"Concurrent programming allows multiple tasks to run simultaneously, improving performance on multi-core systems."
none,parallel programming,"Parallel programming divides tasks to run simultaneously on multiple processors, often for performance."
none,asynchronous programming,"Asynchronous programming allows tasks to run independently, using callbacks, promises, or async/await for non-blocking code."
none,promises,"Promises in JavaScript represent the eventual completion or failure of an asynchronous operation, with .then() for handling results."
none,callbacks,"Callbacks are functions passed as arguments to be executed later, often used in asynchronous programming."
none,processes,"Processes are independent programs running in their own memory space, managed by the operating system."
none,threads,"Threads are lightweight units of execution within a process, sharing the same memory space."
none,multithreading,"Multithreading runs multiple threads concurrently within a process, improving performance for I/O or CPU-bound tasks."
none,scheduling,"Scheduling determines the order and timing of process or thread execution, managed by the operating system."
none,deadlocks,"Deadlocks occur when multiple processes or threads wait indefinitely for resources held by each other."
none,semaphores,"Semaphores are synchronization tools that control access to shared resources in concurrent programming."
none,mutex,"A mutex (mutual exclusion) is a lock ensuring only one thread accesses a shared resource at a time."
none,memory management,"Memory management allocates and deallocates memory for programs, handled by the OS or runtime (e.g., garbage collection)."
none,virtual memory,"Virtual memory abstracts physical memory, allowing processes to use more memory than physically available via paging."
none,paging,"Paging divides memory into fixed-size pages, mapping virtual addresses to physical memory for efficient management."
none,osi model,"The OSI model is a 7-layer framework (Physical to Application) for understanding network communication."
none,tcp ip,"TCP/IP is a protocol suite for internet communication, including TCP for reliable transmission and IP for addressing."
none,http,"HTTP (HyperText Transfer Protocol) is a protocol for transferring web data, using requests and responses."
none,https,"HTTPS (HTTP Secure) is HTTP with encryption via SSL/TLS, ensuring secure web communication."
none,dns,"DNS (Domain Name System) translates domain names (e.g., google.com) into IP addresses for network routing."
none,ip address,"An IP address is a unique identifier for devices on a network, like 192.168.1.1 (IPv4) or 2001:db8::1 (IPv6)."
none,ports,"Ports are virtual endpoints for network communication, identifying specific services (e.g., 80 for HTTP)."
none,sockets,"Sockets are endpoints for bidirectional communication between networked devices, used in client-server models."
none,firewalls,"Firewalls are security systems that monitor and control network traffic based on predefined rules."
none,load balancers,"Load balancers distribute network traffic across multiple servers to ensure availability and performance."
none,encryption,"Encryption converts data into a secure format using algorithms, only readable with a decryption key."
none,symmetric encryption,"Symmetric encryption uses the same key for encryption and decryption, like AES, for fast processing."
none,asymmetric encryption,"Asymmetric encryption uses a public key to encrypt and a private key to decrypt, like RSA, for secure key exchange."
none,hashing,"Hashing converts data into a fixed-size value (hash) using algorithms like SHA-256, used for integrity checks."
none,digital signatures,"Digital signatures use asymmetric encryption to verify the authenticity and integrity of a message or document."
none,ssl tls,"SSL/TLS are protocols for encrypting internet communication, ensuring secure data transfer (e.g., HTTPS)."
none,sql injection,"SQL injection is an attack where malicious SQL code is inserted into a query, compromising a database."
none,cross site scripting,"Cross-site scripting (XSS) injects malicious scripts into web pages, executed in users’ browsers."
none,cross site request forgery,"Cross-site request forgery (CSRF) tricks users into performing unintended actions on a trusted site."
none,authentication vs authorization,"Authentication verifies identity (e.g., login), while authorization determines permissions (e.g., access rights)."
none,machine learning,"Machine learning is a field of AI where systems learn patterns from data to make predictions or decisions."
none,supervised learning,"Supervised learning trains models on labeled data to predict outcomes, like classification or regression."
none,unsupervised learning,"Unsupervised learning finds patterns in unlabeled data, like clustering or dimensionality reduction."
none,classification,"Classification is a supervised learning task predicting categorical labels, like spam vs. not spam."
none,regression,"Regression is a supervised learning task predicting continuous values, like house prices."
none,clustering,"Clustering is an unsupervised learning task grouping similar data points, like customer segmentation."
none,neural networks,"Neural networks are machine learning models inspired by the brain, with layers of interconnected nodes."
none,deep learning,"Deep learning uses neural networks with many layers to model complex patterns, like image recognition."
none,natural language processing,"Natural language processing enables computers to understand and generate human language, like chatbots."
none,computer vision,"Computer vision enables computers to interpret visual data, like object detection in images."
none,regular expressions,"Regular expressions are patterns for matching and manipulating strings, like validating email formats."
none,file io,"File I/O (input/output) involves reading from and writing to files, like opening a text file in Python."
none,exception handling,"Exception handling manages runtime errors using try-catch blocks to prevent program crashes."
none,try catch blocks,"Try-catch blocks enclose code that might throw an exception, catching and handling errors gracefully."
none,garbage collection,"Garbage collection automatically frees memory by reclaiming objects no longer in use, like in Java or Python."
none,memory leaks,"Memory leaks occur when a program fails to release unused memory, causing performance issues."
none,pointers,"Pointers are variables storing memory addresses, used in languages like C to directly manipulate memory."
none,references,"References are aliases for variables or objects, used in languages like C++ or Java for indirect access."
none,lambda functions,"Lambda functions are anonymous, single-expression functions, often used for short, inline operations."
none,closures,"Closures are functions that retain access to variables from their enclosing scope, even after the scope ends."
python,python list comprehensions,"Python list comprehensions create lists concisely using a single line, like [x*2 for x in range(5)]."
java,java interfaces,"Java interfaces define abstract methods that classes must implement, enabling polymorphism."
cpp,c plus plus templates,"C++ templates allow generic programming by defining functions or classes with placeholder types."
javascript,javascript prototypes,"JavaScript prototypes enable inheritance by allowing objects to share properties and methods."
ruby,ruby blocks,"Ruby blocks are chunks of code passed to methods, often used for iteration or customization."
php,php sessions,"PHP sessions store user data across multiple page requests, using session IDs stored in cookies."
go,go routines,"Go routines are lightweight threads managed by the Go runtime, enabling concurrent execution."
rust,rust ownership,"Rust ownership ensures memory safety by enforcing rules on how variables own and borrow data."
swift,swift optionals,"Swift optionals handle the absence of a value, using ? to declare and safely unwrap with if let."
kotlin,kotlin coroutines,"Kotlin coroutines simplify asynchronous programming, allowing non-blocking code with suspend functions."
none,ides,"IDEs (Integrated Development Environments) are tools like Visual Studio Code, providing code editing, debugging, and more."
none,text editors,"Text editors like Vim or Notepad++ are lightweight tools for editing code, often with syntax highlighting."
none,virtual machines,"Virtual machines emulate a computer system, running an OS or application in an isolated environment."
none,containers,"Containers package applications with their dependencies, like Docker, for consistent deployment."
none,docker,"Docker is a platform for creating and running containers, simplifying application deployment."
none,kubernetes,"Kubernetes is a system for orchestrating containerized applications, managing scaling and deployment."
none,cloud computing,"Cloud computing delivers computing resources like servers and storage over the internet, like AWS."
none,aws,"AWS (Amazon Web Services) is a cloud platform offering services like EC2, S3, and Lambda for computing and storage."
none,azure,"Azure is Microsoft’s cloud platform, providing services for computing, storage, and machine learning."
none,gcp,"GCP (Google Cloud Platform) offers cloud services like BigQuery and Compute Engine for data and computing."
none,monads,"Monads are functional programming constructs that encapsulate computations, enabling chaining of operations."
none,functors,"Functors are types that can be mapped over, applying a function to their contents, like lists or Option."
none,microservices,"Microservices are an architecture where applications are built as small, independent services communicating via APIs."
none,serverless architecture,"Serverless architecture runs code in response to events without managing servers, like AWS Lambda."
none,graphql,"GraphQL is a query language for APIs, allowing clients to request exactly the data they need."
none,mvc pattern,"The MVC (Model-View-Controller) pattern separates data (Model), UI (View), and logic (Controller)."
none,mvvm pattern,"The MVVM (Model-View-ViewModel) pattern binds UI (View) to data (ViewModel) for reactive applications."
none,observer pattern,"The observer pattern allows objects to subscribe to and receive updates from a subject, like event listeners."
none,decorator pattern,"The decorator pattern dynamically adds responsibilities to objects, wrapping them with new behavior."
none,command pattern,"The command pattern encapsulates a request as an object, enabling parameterization and queuing of actions."
none,strategy pattern,"The strategy pattern defines a family of algorithms, allowing them to be swapped at runtime."
none,state pattern,"The state pattern allows an object to change behavior when its internal state changes, like a state machine."
none,adapter pattern,"TheＡadapter pattern converts one interface to another, allowing incompatible classes to work together."
none,facade pattern,"The facade pattern provides a simplified interface to a complex subsystem, improving usability."
none,proxy pattern,"The proxy pattern controls access to an object, adding behavior like lazy loading or access control."
none,iterator pattern,"The iterator pattern provides a way to sequentially access elements of a collection without exposing its structure."
none,visitor pattern,"The visitor pattern separates an algorithm from an object structure, allowing new operations without modifying classes."
none,template method pattern,"The template method pattern defines a method’s skeleton in a superclass, letting subclasses override steps."
none,chain of responsibility pattern,"The chain of responsibility pattern passes a request along a chain of handlers until one processes it."
none,mediator pattern,"The mediator pattern defines an object that coordinates communication between objects, reducing direct dependencies."
none,pure functions,"Pure functions always produce the same output for the same input and have no side effects, like mathematical functions."
none,immutability,"Immutability ensures data cannot be changed after creation, reducing bugs in functional programming."
none,higher order functions,"Higher-order functions take functions as arguments or return them, enabling abstraction, like map or filter."
none,function composition,"Function composition combines multiple functions into a single function, where the output of one is the input of another."
none,currying,"Currying transforms a function with multiple arguments into a sequence of single-argument functions."
none,partial application,"Partial application fixes some arguments of a function, returning a new function with fewer parameters."
none,tail recursion,"Tail recursion optimizes recursive calls by reusing the same stack frame, preventing stack overflow."
none,lazy evaluation,"Lazy evaluation delays computation until the result is needed, improving performance, like in Haskell."
none,pattern matching,"Pattern matching deconstructs data structures to check and extract values, common in functional languages."
none,algebraic data types,"Algebraic data types combine types using sum (e.g., Either) and product (e.g., tuples) types for expressive modeling."
none,type classes,"Type classes define behavior for types, allowing ad-hoc polymorphism, like Haskell’s Show or Eq."
none,functors,"Functors (repeated for clarity) are types that support mapping, applying a function to wrapped values."
none,applicatives,"Applicative functors allow applying a wrapped function to wrapped values, more powerful than functors."
none,monoids,"Monoids are types with an associative operation and an identity element, like numbers with addition and 0."
none,foldables,"Foldables are data structures that can be reduced to a single value using a folding operation, like lists."
none,traversables,"Traversables are data structures that can be traversed while preserving structure, applying effects."
none,lenses,"Lenses provide a functional way to access and update nested data structures immutably."
none,effect systems,"Effect systems track side effects in functional programming, ensuring purity, like IO in Haskell."
none,referential transparency,"Referential transparency ensures an expression can be replaced with its value without changing program behavior."
none,type inference,"Type inference automatically deduces variable types at compile time, reducing explicit type annotations."
none,DSA,"DSA (Data Structures and Algorithms) refers to the study of organizing data (e.g., arrays, trees) and designing efficient algorithms to solve computational problems."
