max heap,What is a max heap?,A heap where the parent is larger than its children,A heap where the parent is smaller,A linear array,A cyclic graph,A heap where the parent is larger than its children,,,,,,
directed graphs,What is a directed graph?,A graph where edges have direction,A graph with no edges,A tree structure,An undirected graph,A graph where edges have direction,,,,,,
undirected graphs,What is an undirected graph?,A graph where edges have no direction,A graph with one-way edges,A linear list,A sorted tree,A graph where edges have no direction,,,,,,
adjacency matrix,What is an adjacency matrix?,A 2D array representing graph edges,A list of nodes,A tree structure,A hash table,A 2D array representing graph edges,,,,,,
adjacency list,What is an adjacency list?,A list where each node stores its neighbors,A matrix of edges,A sorted array,A single linked list,A list where each node stores its neighbors,,,,,,
hash functions,What is the role of a hash function?,Maps data to a fixed-size value,Sorts data in ascending order,Encrypts data,Compresses files,Maps data to a fixed-size value,,,,,,
collision resolution,What is collision resolution in hash tables?,Handling cases where multiple keys map to the same index,Sorting keys alphabetically,Deleting duplicate keys,Expanding the table size,Handling cases where multiple keys map to the same index,,,,,,
tries,What is a trie in data structures?,A tree for storing strings with shared prefixes,A binary search tree,A sorted list,A hash table,A tree for storing strings with shared prefixes,,,,,,
bloom filters,What is a Bloom filter?,A probabilistic data structure for membership testing,A sorting algorithm,A tree structure,A linked list,A probabilistic data structure for membership testing,,,,,,
sorting algorithms,What do sorting algorithms do?,Arrange elements in a specific order,Search for elements,Compress data,Encrypt data,Arrange elements in a specific order,,,,,,
bubble sort,What is Bubble Sort?,A sorting algorithm that swaps adjacent elements if out of order,A quick sort variant,A tree-based sort,A hash-based sort,A sorting algorithm that swaps adjacent elements if out of order,,,,,,
selection sort,What is Selection Sort?,Selects the smallest element and places it at the start,Swaps adjacent elements,Divides and merges,Uses a pivot,Selects the smallest element and places it at the start,,,,,,
insertion sort,What is Insertion Sort?,Builds a sorted array one element at a time,Swaps adjacent elements,Uses a pivot,Divides and merges,Builds a sorted array one element at a time,,,,,,
merge sort,What is Merge Sort?,Divides the array and merges sorted halves,Swaps adjacent elements,Selects the smallest element,Uses a pivot,Divides the array and merges sorted halves,,,,,,
quick sort,What is Quick Sort?,Uses a pivot to partition and sort recursively,Swaps adjacent elements,Builds a sorted array,Uses a tree structure,Uses a pivot to partition and sort recursively,,,,,,
heap sort,What is Heap Sort?,Uses a heap to sort elements,Swaps adjacent elements,Divides and merges,Selects the smallest,Uses a heap to sort elements,,,,,,
radix sort,What is Radix Sort?,Sorts digits from least to most significant,Uses a pivot,Swaps adjacent elements,Builds a heap,Sorts digits from least to most significant,,,,,,
counting sort,What is Counting Sort?,Counts occurrences to sort integers,Uses a pivot,Divides and merges,Swaps adjacent elements,Counts occurrences to sort integers,,,,,,
searching algorithms,What do searching algorithms do?,Locate an element in a data structure,Sort elements,Compress data,Encrypt data,Locate an element in a data structure,,,,,,
linear search,What is Linear Search?,Checks each element sequentially,Uses a binary approach,Divides and merges,Builds a heap,Checks each element sequentially,,,,,,
depth first search,What is Depth-First Search?,Explores as far as possible along each branch,Checks all nodes at once,Searches level by level,Uses a pivot,Explores as far as possible along each branch,,,,,,
breadth first search,What is Breadth-First Search?,Explores all nodes at the current level first,Explores branches deeply,Uses a pivot,Sorts nodes,Breadth-First Search,,,,,,
dijkstras algorithm,What does Dijkstra's Algorithm find?,Shortest path in a weighted graph,Longest path,Minimum spanning tree,All pairs shortest paths,Shortest path in a weighted graph,,,,,,
a star algorithm,What is the A* Algorithm used for?,Finding the shortest path with heuristics,Sorting a list,Compressing data,Encrypting data,Finding the shortest path with heuristics,,,,,,
bellman ford algorithm,What does the Bellman-Ford Algorithm handle?,Shortest paths with negative weights,Minimum spanning trees,All pairs shortest paths,Sorting,Shortest paths with negative weights,,,,,,
floyd warshall algorithm,What does the Floyd-Warshall Algorithm compute?,All pairs shortest paths,Single source shortest paths,Minimum spanning tree,Depth-first traversal,All pairs shortest paths,,,,,,
kruskals algorithm,What does Kruskal's Algorithm find?,Minimum spanning tree,Shortest path,Maximum flow,Depth-first traversal,Minimum spanning tree,,,,,,
prims algorithm,What is Prim's Algorithm used for?,Finding a minimum spanning tree,Finding the shortest path,Sorting a graph,Compressing a graph,Finding a minimum spanning tree,,,,,,
dynamic programming,What is dynamic programming?,Solves problems by breaking them into overlapping subproblems,Sorts data linearly,Encrypts data,Compresses files,Solves problems by breaking them into overlapping subproblems,,,,,,
memoization,What is memoization in dynamic programming?,Caching results of expensive function calls,Sorting data,Encrypting data,Compressing files,Caching results of expensive function calls,,,,,,
knapsack problem,What does the knapsack problem optimize?,Maximizing value within a weight constraint,Sorting items,Compressing data,Encrypting data,Maximizing value within a weight constraint,,,,,,
longest common subsequence,What does the Longest Common Subsequence problem find?,Longest shared subsequence of two sequences,Shortest path,Maximum flow,Minimum spanning tree,Longest shared subsequence of two sequences,,,,,,
fibonacci sequence,What is the Fibonacci sequence?,A sequence where each number is the sum of the two preceding ones,A sorted list,A random sequence,A geometric sequence,A sequence where each number is the sum of the two preceding ones,,,,,,
greedy algorithms,What characterizes a greedy algorithm?,Makes the locally optimal choice at each step,Divides and conquers,Uses backtracking,Caches results,Makes the locally optimal choice at each step,,,,,,
divide and conquer,What is the divide and conquer strategy?,Breaks problems into smaller subproblems and combines solutions,Makes greedy choices,Uses backtracking,Caches results,Breaks problems into smaller subproblems and combines solutions,,,,,,
backtracking,What is backtracking in algorithms?,Systematically explores all possible solutions,Sorts data,Compresses data,Encrypts data,Systematically explores all possible solutions,,,,,,
recurrence relations,What is a recurrence relation?,A mathematical equation defining a sequence recursively,A sorting algorithm,A compression technique,An encryption method,A mathematical equation defining a sequence recursively,,,,,,
big o notation,What does Big O notation describe?,The upper bound of an algorithm's time complexity,The exact runtime,The memory usage,The code length,The upper bound of an algorithm's time complexity,,,,,,
relational databases,What is a relational database?,A database using tables with relationships,A key-value store,A graph database,A document store,A database using tables with relationships,,,,,,
sql,What is SQL used for?,Querying and managing relational databases,Sorting algorithms,File compression,Network encryption,Querying and managing relational databases,,,,,,
tables,What is a table in a relational database?,A collection of rows and columns storing data,A sorting algorithm,A tree structure,A hash map,A collection of rows and columns storing data,,,,,,
primary keys,What is the role of a primary key?,Uniquely identifies each row in a table,Sorts the table,Compresses data,Encrypts data,Uniquely identifies each row in a table,,,,,,
foreign keys,What does a foreign key do?,Links two tables by referencing a primary key,Sorts table data,Encrypts table data,Compresses table data,Links two tables by referencing a primary key,,,,,,
indexes,What is the purpose of an index in a database?,Speeds up query performance,Stores duplicate data,Encrypts data,Compresses data,Speeds up query performance,,,,,,
normalization,What does database normalization do?,Reduces redundancy and improves data integrity,Increases redundancy,Encrypts data,Compresses data,Reduces redundancy and improves data integrity,,,,,,
denormalization,What is denormalization in databases?,Introduces redundancy for performance,Removes all redundancy,Encrypts data,Compresses data,Introduces redundancy for performance,,,,,,
joins,What do JOIN operations do in SQL?,Combine rows from multiple tables,Sort tables,Compress tables,Encrypt tables,Combine rows from multiple tables,,,,,,
inner join,What does an INNER JOIN return?,Rows with matching values in both tables,All rows from both tables,Only unmatched rows,Rows from one table,Rows with matching values in both tables,,,,,,
left join,What does a LEFT JOIN return?,All rows from the left table and matching rows from the right,All rows from both tables,Only unmatched rows,Rows from the right table,All rows from the left table and matching rows from the right,,,,,,
right join,What does a RIGHT JOIN return?,All rows from the right table and matching rows from the left,All rows from both tables,Only unmatched rows,Rows from the left table,All rows from the right table and matching rows from the left,,,,,,
full join,What does a FULL JOIN return?,All rows from both tables with NULLs where no match exists,Only matching rows,Only unmatched rows,Rows from one table,All rows from both tables with NULLs where no match exists,,,,,,
queries,What is a database query?,A request to retrieve or manipulate data,A sorting algorithm,A compression technique,An encryption method,A request to retrieve or manipulate data,,,,,,
select statement,What does the SELECT statement do in SQL?,Retrieves data from a database,Inserts data,Updates data,Deletes data,Retrieves data from a database,,,,,,
insert statement,What does the INSERT statement do in SQL?,Adds new rows to a table,Retrieves data,Updates existing rows,Deletes rows,Adds new rows to a table,,,,,,
update statement,What does the UPDATE statement do in SQL?,Modifies existing rows in a table,Retrieves data,Inserts new rows,Deletes rows,Modifies existing rows in a table,,,,,,
delete statement,What does the DELETE statement do in SQL?,Removes rows from a table,Retrieves data,Inserts new rows,Updates rows,Removes rows from a table,,,,,,
transactions,What is a database transaction?,A sequence of operations treated as a single unit,A sorting operation,A compression technique,An encryption method,A sequence of operations treated as a single unit,,,,,,
acid properties,What do ACID properties ensure in databases?,Atomicity, Consistency, Isolation, Durability,Sorting efficiency,Compression ratio,Encryption strength,Atomicity, Consistency, Isolation, Durability
nosql databases,What is a NoSQL database?,A non-relational database with flexible schemas,A relational database,A sorted database,An encrypted database,A non-relational database with flexible schemas,,,,,,
document stores,What is a document store in NoSQL?,Stores data as JSON-like documents,Stores data as tables,Stores data as graphs,Stores data as key-value pairs,Stores data as JSON-like documents,,,,,,
key value stores,What is a key-value store in NoSQL?,Stores data as key-value pairs,Stores data as tables,Stores data as trees,Stores data as graphs,Stores data as key-value pairs,,,,,,
column family stores,What is a column-family store in NoSQL?,Stores data in column families for scalability,Stores data as documents,Stores data as graphs,Stores data as trees,Stores data in column families for scalability,,,,,,
graph databases,What is a graph database?,Stores data as nodes and edges for relationships,Stores data as tables,Stores data as documents,Stores data as key-value pairs,Stores data as nodes and edges for relationships,,,,,,
mongodb,What is MongoDB?,A document-based NoSQL database,A relational database,A graph database,A key-value store,A document-based NoSQL database,,,,,,
cassandra,What is Apache Cassandra?,A distributed column-family NoSQL database,A relational database,A document store,A graph database,A distributed column-family NoSQL database,,,,,,
redis,What is Redis?,An in-memory key-value store,A relational database,A document store,A graph database,An in-memory key-value store,,,,,,
database schema,What is a database schema?,The structure defining how data is organized,A sorting algorithm,A compression technique,An encryption method,The structure defining how data is organized,,,,,,
er diagrams,What is an ER diagram?,A visual representation of database entities and relationships,A sorting diagram,A compression diagram,An encryption diagram,A visual representation of database entities and relationships,,,,,,
html,What is HTML used for?,Structuring content on the web,Styling web pages,Managing databases,Encrypting data,Structuring content on the web,,,,,,
css,What is CSS used for?,Styling and formatting web pages,Structuring content,Managing databases,Encrypting data,Styling and formatting web pages,,,,,,
dom,What is the DOM in web development?,A programming interface for HTML documents,A database model,A sorting algorithm,An encryption method,A programming interface for HTML documents,,,,,,
ajax,What does AJAX enable in web applications?,Asynchronous data retrieval without page reloads,Page styling,Database creation,File compression,Asynchronous data retrieval without page reloads,,,,,,
json,What is JSON used for?,Exchanging data in a lightweight format,Styling web pages,Managing databases,Encrypting data,Exchanging data in a lightweight format,,,,,,
xml,What is XML used for?,Storing and transporting structured data,Styling web pages,Managing databases,Encrypting data,Storing and transporting structured data,,,,,,
apis,What is an API?,A set of rules for interacting with software components,A sorting algorithm,A compression technique,An encryption method,A set of rules for interacting with software components,,,,,,
rest,What is REST in web development?,An architectural style for designing networked applications,A database model,A sorting algorithm,An encryption method,An architectural style for designing networked applications,,,,,,
soap,What is SOAP?,A protocol for exchanging structured information,A styling language,A database model,A sorting algorithm,A protocol for exchanging structured information,,,,,,
http methods,What are HTTP methods used for?,Defining actions on web resources,Styling web pages,Managing databases,Encrypting data,Defining actions on web resources,,,,,,
status codes,What do HTTP status codes indicate?,The outcome of an HTTP request,A sorting result,A compression level,An encryption strength,The outcome of an HTTP request,,,,,,
frontend,What is the frontend in web development?,The client-side part of a web application,The server-side logic,The database layer,The network layer,The client-side part of a web application,,,,,,
backend,What is the backend in web development?,The server-side logic and data management,The client-side interface,The styling layer,The network layer,The server-side logic and data management,,,,,,
frameworks,What are programming frameworks?,Pre-built structures to streamline development,Random code snippets,Encryption tools,Compression algorithms,Pre-built structures to streamline development,,,,,,
react,What is React?,A JavaScript library for building user interfaces,A database system,A sorting algorithm,An encryption tool,A JavaScript library for building user interfaces,,,,,,
angular,What is Angular?,A framework for building client-side applications,A server-side framework,A database system,A compression tool,A framework for building client-side applications,,,,,,
vue js,What is Vue.js?,A progressive JavaScript framework for UI,A database system,A sorting algorithm,An encryption tool,A progressive JavaScript framework for UI,,,,,,
node js,What is Node.js?,A runtime for executing JavaScript server-side,A client-side framework,A database system,A compression tool,A runtime for executing JavaScript server-side,,,,,,
express js,What is Express.js?,A web framework for Node.js,A client-side library,A database system,A sorting algorithm,A web framework for Node.js,,,,,,
django,What is Django?,A Python web framework,A JavaScript library,A database system,A compression tool,A Python web framework,,,,,,
flask,What is Flask?,A lightweight Python web framework,A JavaScript library,A database system,A sorting algorithm,A lightweight Python web framework,,,,,,
cookies,What are cookies in web development?,Small data stored on the client’s browser,Server-side scripts,Database tables,Encrypted files,Small data stored on the client’s browser,,,,,,
sessions,What is a session in web development?,A server-side storage of user data during interaction,A client-side script,A database table,An encrypted file,A server-side storage of user data during interaction,,,,,,
authentication,What is authentication in web security?,Verifying a user’s identity,Styling a webpage,Managing a database,Encrypting a file,Verifying a user’s identity,,,,,,
authorization,What.Concurrent programming involves multiple tasks executing simultaneously, while parallel programming involves tasks running at the exact same time on multiple processors.,,,,,,,,,,
getter methods,What is the purpose of a getter method in OOP?,To modify an object's attribute,To retrieve an object's attribute value,To delete an object's attribute,To create a new object,To retrieve an object's attribute value,,,,,,
setter methods,What does a setter method do in a class?,Returns the class type,Sets or updates an attribute's value,Initializes the class,Declares a static variable,Sets or updates an attribute's value,,,,,,
composition,What is composition in OOP?,A class inheriting from another class,A class containing an instance of another class,A class implementing an interface,A class with static methods,A class containing an instance of another class,,,,,,
aggregation,What distinguishes aggregation from composition?,Weaker relationship with independent lifecycles,Stronger relationship with dependent lifecycles,Involves multiple inheritance,Involves interface implementation,Weaker relationship with independent lifecycles,,,,,,
association,What is association in OOP?,A relationship between two classes,A method overriding another,An inheritance hierarchy,A static method call,A relationship between two classes,,,,,,
single responsibility principle,What does the Single Responsibility Principle state?,A class should have multiple responsibilities,A class should have only one reason to change,A class should inherit from one parent,A class should be immutable,A class should have only one reason to change,,,,,,
open closed principle,What does the Open/Closed Principle mean?,Classes should be open to modification,Classes should be open to extension but closed to modification,Classes should not use interfaces,Classes should be fully immutable,Classes should be open to extension but closed to modification,,,,,,
liskov substitution principle,What does the Liskov Substitution Principle ensure?,Subclasses can replace superclasses without breaking the program,Subclasses must override all parent methods,Subclasses cannot inherit from interfaces,Subclasses must be immutable,Subclasses can replace superclasses without breaking the program,,,,,,
interface segregation principle,What is the Interface Segregation Principle?,Clients should implement all interface methods,Clients should not be forced to depend on methods they don't use,Interfaces should be immutable,Interfaces should only have one method,Clients should not be forced to depend on methods they don't use,,,,,,
dependency inversion principle,What does the Dependency Inversion Principle state?,High-level modules should depend on low-level modules,Modules should depend on abstractions, not concretions,Classes should avoid interfaces,Dependencies should be immutable,Modules should depend on abstractions, not concretions,,,,
design patterns,What are design patterns in programming?,Reusable solutions to common problems,Random code structures,Immutable data structures,Single-use algorithms,Reusable solutions to common problems,,,,,,
factory pattern,What does the Factory Pattern do?,Creates objects without specifying the exact class,Manages database connections,Handles file I/O,Ensures thread safety,Creates objects without specifying the exact class,,,,,,
lists,What is a list in programming?,A fixed-size data structure,An ordered collection of elements,A key-value pair structure,A graph-based structure,An ordered collection of elements,,,,,,
linked lists,What is a linked list?,A collection of nodes where each node points to the next,A fixed-size array,A tree-based structure,A hash table,A collection of nodes where each node points to the next,,,,,,
singly linked list,What characterizes a singly linked list?,Each node points to the next node,Each node points to the previous node,Each node points to both next and previous,Nodes are unordered,Each node points to the next node,,,,,,
doubly linked list,What is a doubly linked list?,A list where nodes have links to both next and previous nodes,A list with only forward links,A list with no links,A circular list,A list where nodes have links to both next and previous nodes,,,,,,
circular linked list,What defines a circular linked list?,The last node points back to the first node,Nodes have no links,Each node points to two others,It is a fixed-size list,The last node points back to the first node,,,,,,
priority queues,What is a priority queue?,A queue where elements are dequeued based on priority,A queue with fixed-size elements,A stack-based structure,A sorted array,A queue where elements are dequeued based on priority,,,,,,
deques,What is a deque?,A double-ended queue allowing insertion/deletion at both ends,A single-ended queue,A fixed-size array,A tree-based structure,A double-ended queue allowing insertion/deletion at both ends,,,,,,
trees,What is a tree in data structures?,A hierarchical structure with nodes connected by edges,A linear array,A key-value pair,A flat list,A hierarchical structure with nodes connected by edges,,,,,,
binary search trees,What is a binary search tree?,A tree where left child < parent < right child,A tree with random node values,A linear list,A graph with cycles,A tree where left child < parent < right child,,,,,,
heaps,What is a heap in data structures?,A tree-based structure satisfying the heap property,A linear list,A sorted array,A graph structure,A tree-based structure satisfying the heap property,,,,,,
min heap,What is a min heap?,A heap where the parent is smaller than its children,A heap where the parent is larger,A sorted list,A random tree,A heap where the parent is smaller than its children,,,,,,
max heap,What is a max heap?,A heap where the parent is larger than its children,A heap where the parent is smaller,A linear array,A cyclic graph,A heap where the parent is larger than its children,,,,,,
directed graphs,What is a directed graph?,A graph where edges have direction,A graph with no edges,A tree structure,An undirected graph,A graph where edges have direction,,,,,,
undirected graphs,What is an undirected graph?,A graph where edges have no direction,A graph with one-way edges,A linear list,A sorted tree,A graph where edges have no direction,,,,,,
adjacency matrix,What is an adjacency matrix?,A 2D array representing graph edges,A list of nodes,A tree structure,A hash table,A 2D array representing graph edges,,,,,,
adjacency list,What is an adjacency list?,A list where each node stores its neighbors,A matrix of edges,A sorted array,A single linked list,A list where each node stores its neighbors,,,,,,
hash functions,What is the role of a hash function?,Maps data to a fixed-size value,Sorts data in ascending order,Encrypts data,Compresses files,Maps data to a fixed-size value,,,,,,
collision resolution,What is collision resolution in hash tables?,Handling cases where multiple keys map to the same index,Sorting keys alphabetically,Deleting duplicate keys,Expanding the table size,Handling cases where multiple keys map to the same index,,,,,,
tries,What is a trie in data structures?,A tree for storing strings with shared prefixes,A binary search tree,A sorted list,A hash table,A tree for storing strings with shared prefixes,,,,,,
bloom filters,What is a Bloom filter?,A probabilistic data structure for membership testing,A sorting algorithm,A tree structure,A linked list,A probabilistic data structure for membership testing,,,,,,
sorting algorithms,What do sorting algorithms do?,Arrange elements in a specific order,Search for elements,Compress data,Encrypt data,Arrange elements in a specific order,,,,,,
bubble sort,What is Bubble Sort?,A sorting algorithm that swaps adjacent elements if out of order,A quick sort variant,A tree-based sort,A hash-based sort,A sorting algorithm that swaps adjacent elements if out of order,,,,,,
selection sort,What is Selection Sort?,Selects the smallest element and places it at the start,Swaps adjacent elements,Divides and merges,Uses a pivot,Selects the smallest element and places it at the start,,,,,,
insertion sort,What is Insertion Sort?,Builds a sorted array one element at a time,Swaps adjacent elements,Uses a pivot,Divides and merges,Builds a sorted array one element at a time,,,,,,
merge sort,What is Merge Sort?,Divides the array and merges sorted halves,Swaps adjacent elements,Selects the smallest element,Uses a pivot,Divides the array and merges sorted halves,,,,,,
quick sort,What is Quick Sort?,Uses a pivot to partition and sort recursively,Swaps adjacent elements,Builds a sorted array,Uses a tree structure,Uses a pivot to partition and sort recursively,,,,,,
heap sort,What is Heap Sort?,Uses a heap to sort elements,Swaps adjacent elements,Divides and merges,Selects the smallest,Uses a heap to sort elements,,,,,,
radix sort,What is Radix Sort?,Sorts digits from least to most significant,Uses a pivot,Swaps adjacent elements,Builds a heap,Sorts digits from least to most significant,,,,,,
counting sort,What is Counting Sort?,Counts occurrences to sort integers,Uses a pivot,Divides and merges,Swaps adjacent elements,Counts occurrences to sort integers,,,,,,
searching algorithms,What do searching algorithms do?,Locate an element in a data structure,Sort elements,Compress data,Encrypt data,Locate an element in a data structure,,,,,,
linear search,What is Linear Search?,Checks each element sequentially,Uses a binary approach,Divides and merges,Builds a heap,Checks each element sequentially,,,,,,
depth first search,What is Depth-First Search?,Explores as far as possible along each branch,Checks all nodes at once,Searches level by level,Uses a pivot,Explores as far as possible along each branch,,,,,,
breadth first search,What is Breadth-First Search?,Explores all nodes at the current level first,Explores branches deeply,Uses a pivot,Sorts nodes,Explores all nodes at the current level first,,,,,,
dijkstras algorithm,What does Dijkstra's Algorithm find?,Shortest path in a weighted graph,Longest path,Minimum spanning tree,All pairs shortest paths,Shortest path in a weighted graph,,,,,,
a star algorithm,What is the A* Algorithm used for?,Finding the shortest path with heuristics,Sorting a list,Compressing data,Encrypting data,Finding the shortest path with heuristics,,,,,,
bellman ford algorithm,What does the Bellman-Ford Algorithm handle?,Shortest paths with negative weights,Minimum spanning trees,All pairs shortest paths,Sorting,Shortest paths with negative weights,,,,,,
floyd warshall algorithm,What does the Floyd-Warshall Algorithm compute?,All pairs shortest paths,Single source shortest paths,Minimum spanning tree,Depth-first traversal,All pairs shortest paths,,,,,,
kruskals algorithm,What does Kruskal's Algorithm find?,Minimum spanning tree,Shortest path,Maximum flow,Depth-first traversal,Minimum spanning tree,,,,,,
prims algorithm,What is Prim's Algorithm used for?,Finding a minimum spanning tree,Finding the shortest path,Sorting a graph,Compressing a graph,Finding a minimum spanning tree,,,,,,
dynamic programming,What is dynamic programming?,Solves problems by breaking them into overlapping subproblems,Sorts data linearly,Encrypts data,Compresses files,Solves problems by breaking them into overlapping subproblems,,,,,,
memoization,What is memoization in dynamic programming?,Caching results of expensive function calls,Sorting data,Encrypting data,Compressing files,Caching results of expensive function calls,,,,,,
knapsack problem,What does the knapsack problem optimize?,Maximizing value within a weight constraint,Sorting items,Compressing data,Encrypting data,Maximizing value within a weight constraint,,,,,,
longest common subsequence,What does the Longest Common Subsequence problem find?,Longest shared subsequence of two sequences,Shortest path,Maximum flow,Minimum spanning tree,Longest shared subsequence of two sequences,,,,,,
fibonacci sequence,What is the Fibonacci sequence?,A sequence where each number is the sum of the two preceding ones,A sorted list,A random sequence,A geometric sequence,A sequence where each number is the sum of the two preceding ones,,,,,,
greedy algorithms,What characterizes a greedy algorithm?,Makes the locally optimal choice at each step,Divides and conquers,Uses backtracking,Caches results,Makes the locally optimal choice at each step,,,,,,
divide and conquer,What is the divide and conquer strategy?,Breaks problems into smaller subproblems and combines solutions,Makes greedy choices,Uses backtracking,Caches results,Breaks problems into smaller subproblems and combines solutions,,,,,,
backtracking,What is backtracking in algorithms?,Systematically explores all possible solutions,Sorts data,Compresses data,Encrypts data,Systematically explores all possible solutions,,,,,,
recurrence relations,What is a recurrence relation?,A mathematical equation defining a sequence recursively,A sorting algorithm,A compression technique,An encryption method,A mathematical equation defining a sequence recursively,,,,,,
big o notation,What does Big O notation describe?,The upper bound of an algorithm's time complexity,The exact runtime,The memory usage,The code length,The upper bound of an algorithm's time complexity,,,,,,
relational databases,What is a relational database?,A database using tables with relationships,A key-value store,A graph database,A document store,A database using tables with relationships,,,,,,
sql,What is SQL used for?,Querying and managing relational databases,Sorting algorithms,File compression,Network encryption,Querying and managing relational databases,,,,,,
tables,What is a table in a relational database?,A collection of rows and columns storing data,A sorting algorithm,A tree structure,A hash map,A collection of rows and columns storing data,,,,,,
primary keys,What is the role of a primary key?,Uniquely identifies each row in a table,Sorts the table,Compresses data,Encrypts data,Uniquely identifies each row in a table,,,,,,
foreign keys,What does a foreign key do?,Links two tables by referencing a primary key,Sorts table data,Encrypts table data,Compresses table data,Links two tables by referencing a primary key,,,,,,
indexes,What is the purpose of an index in a database?,Speeds up query performance,Stores duplicate data,Encrypts data,Compresses data,Speeds up query performance,,,,,,
normalization,What does database normalization do?,Reduces redundancy and improves data integrity,Increases redundancy,Encrypts data,Compresses data,Reduces redundancy and improves data integrity,,,,,,
denormalization,What is denormalization in databases?,Introduces redundancy for performance,Removes all redundancy,Encrypts data,Compresses data,Introduces redundancy for performance,,,,,,
joins,What do JOIN operations do in SQL?,Combine rows from multiple tables,Sort tables,Compress tables,Encrypt tables,Combine rows from multiple tables,,,,,,
inner join,What does an INNER JOIN return?,Rows with matching values in both tables,All rows from both tables,Only unmatched rows,Rows from one table,Rows with matching values in both tables,,,,,,
left join,What does a LEFT JOIN return?,All rows from the left table and matching rows from the right,All rows from both tables,Only unmatched rows,Rows from the right table,All rows from the left table and matching rows from the right,,,,,,
right join,What does a RIGHT JOIN return?,All rows from the right table and matching rows from the left,All rows from both tables,Only unmatched rows,Rows from the left table,All rows from the right table and matching rows from the left,,,,,,
full join,What does a FULL JOIN return?,All rows from both tables with NULLs where no match exists,Only matching rows,Only unmatched rows,Rows from one table,All rows from both tables with NULLs where no match exists,,,,,,
