Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
scala,What is a common use case for Scala?,Front-end development,Big data processing with Spark,Database management,Low-level drivers,Big data processing with Spark,Leverages functional programming.
scala,What does Scala's 'case class' provide?,Manual getter/setter methods,Automatic boilerplate code,Dynamic typing,Low-level access,Automatic boilerplate code,Simplifies immutable data structures.
class,What is a class in object-oriented programming?,A loop structure,A blueprint for creating objects,A sorting algorithm,A database query,A blueprint for creating objects,Defines properties and methods.
class,What keyword is used to define a class in Java?,class,struct,interface,enum,class,Fundamental to OOP in Java.
class,What is a feature of a class?,Encapsulation,Random access,Fixed size,Unordered data,Encapsulation,Bundles data and methods.
class,What is a class constructor used for?,Sorting objects,Initializing objects,Deleting objects,Filtering objects,Initializing objects,Sets initial state.
class,What can a class inherit from?,Another class,A variable,A loop,A function,Another class,Supports code reuse through inheritance.
arrays,What is an array in programming?,A collection of key-value pairs,An ordered collection of elements of the same type,A tree structure,A graph structure,An ordered collection of elements of the same type,Stores elements in contiguous memory.
arrays,What is a key feature of arrays?,Dynamic sizing,Fixed size in most languages,Unordered elements,Key-value mapping,Fixed size in most languages,Size is often defined at creation.
arrays,What is the time complexity for accessing an element in an array?,O(n),O(1),O(log n),O(n^2),O(1),Direct indexing provides constant time access.
arrays,What is a limitation of arrays?,Fast insertion at the beginning,Fixed size in many languages,Dynamic resizing,Random access,Fixed size in many languages,Resizing requires copying.
arrays,What operation can cause an array to overflow?,Appending beyond capacity,Accessing an element,Sorting the array,Searching an element,Appending beyond capacity,Leads to errors in fixed-size arrays.
variables,What is a variable in programming?,A fixed value,A storage location with a name and type,A loop structure,A sorting algorithm,A storage location with a name and type,Holds data during execution.
variables,What keyword declares a variable in Python?,var,let,def,There is no keyword,There is no keyword,Python uses direct assignment.
variables,What is a benefit of using variables?,Hardcoding values,Code reusability,Increased complexity,Fixed data,Code reusability,Allows dynamic data manipulation.
variables,What is a scope of a variable?,Its data type,Its visibility in the program,Its memory size,Its default value,Its visibility in the program,Determines where it can be accessed.
variables,What happens if a variable is undeclared in JavaScript?,It is automatically declared,It throws an error,It becomes global,It defaults to null,It throws an error,Strict mode enforces declaration.
dsa,What does DSA stand for?,Data Structures and Algorithms,Dynamic System Analysis,Data Sorting Algorithms,Distributed System Architecture,Data Structures and Algorithms,Core of efficient programming.
dsa,What is a primary goal of DSA?,Styling code,Optimizing problem-solving efficiency,Debugging hardware,Encrypting data,Optimizing problem-solving efficiency,Focuses on performance.
dsa,What is a common data structure in DSA?,Loop,Array,Function,Class,Array,Fundamental for organizing data.
dsa,What algorithm type is often studied in DSA?,Sorting,Styling,Rendering,Filtering,Sorting,Examples include quicksort and mergesort.
dsa,What is a benefit of learning DSA?,Increased complexity,Better problem-solving skills,More memory usage,Slower execution,Better problem-solving skills,Improves coding efficiency.
oop,What does OOP stand for?,Object-Oriented Programming,Operational Order Processing,Optimal Output Programming,Ordered Object Protocol,Object-Oriented Programming,Focuses on objects and classes.
oop,What is a principle of OOP?,Encapsulation,Random access,Fixed size,Unordered data,Encapsulation,Protects data integrity.
oop,What is a benefit of OOP?,Code reusability,Increased complexity,More memory usage,Slower execution,Code reusability,Through inheritance and polymorphism.
oop,What language is known for OOP?,Java,SQL,HTML,CSS,Java,Designed with OOP principles.
oop,What is a disadvantage of OOP?,Simplicity,Learning curve,Low memory usage,Fast execution,Learning curve,Requires understanding of concepts.
Loops,What is a loop in programming?,A conditional statement,A structure to repeat code,A sorting algorithm,A data structure,A structure to repeat code,Executes code multiple times.
Loops,What loop type checks the condition before executing?,for loop,while loop,do-while loop,foreach loop,while loop,Condition-first evaluation.
Loops,What is a common use of loops?,Single execution,Iteration over data,Fixed data,Random access,Iteration over data,Processes collections.
Loops,What happens in an infinite loop?,It terminates,It runs indefinitely,It sorts data,It compresses data,It runs indefinitely,Can crash the program.
Loops,What keyword exits a loop early in Python?,break,continue,exit,stop,break,breaks the loop immediately.
Inheritance,What is inheritance in OOP?,Copying variables,Deriving properties from a parent class,Sorting objects,Filtering data,Deriving properties from a parent class,Promotes code reuse.
Inheritance,What keyword enables inheritance in Java?,extends,implements,super,this,extends,Defines the parent-child relationship.
Inheritance,What is a benefit of inheritance?,Increased complexity,Code reusability,More memory usage,Slower execution,Code reusability,Reduces redundancy.
Inheritance,What type of inheritance does Python support?,Single only,Multiple inheritance,Fixed inheritance,No inheritance,Multiple inheritance,Allows flexibility.
Inheritance,What is a risk of inheritance?,Tight coupling,Improved performance,Low memory usage,Simple design,Tight coupling,Child depends on parent.
polymorphism,What is polymorphism in OOP?,Using a single interface for multiple data types,Fixed data types,Random access,Unordered data,Using a single interface for multiple data types,Enhances flexibility.
polymorphism,What type of polymorphism occurs at runtime?,Compile-time,Runtime (Dynamic),Static,No polymorphism,Runtime (Dynamic),Enabled by method overriding.
polymorphism,What is a use case for polymorphism?,Fixed data,Dynamic behavior,Sorting data,Filtering data,Dynamic behavior,Adapts to object types.
polymorphism,What language feature supports polymorphism?,Method overriding,Fixed methods,Static typing,Random access,Method overriding,Allows runtime flexibility.
polymorphism,What is a limitation of polymorphism?,Increased flexibility,Complexity in design,Low memory usage,Fast execution,Complexity in design,Requires careful planning.
closure,What is a closure in programming?,A loop structure,A function with access to its lexical scope,A sorting algorithm,A data structure,A function with access to its lexical scope,Retains outer variables.
closure,What language commonly uses closures?,JavaScript,SQL,HTML,CSS,JavaScript,Enables powerful patterns.
closure,What is a benefit of using closures?,Increased complexity,Data encapsulation,More memory usage,Slower execution,Data encapsulation,Protects variables.
closure,What is a use case for closures?,Fixed data,Event handlers,Random access,Filtering data,Event handlers,Maintains state.
closure,What is a limitation of closures?,Memory efficiency,Memory overhead,Simple design,Fast execution,Memory overhead,Retains variables longer.
list,What is a list in programming?,A fixed-size data structure,An ordered collection of elements,A key-value pair structure,A graph-based structure,An ordered collection of elements,Commonly mutable in languages like Python.
list,What operation is typically fast on a list?,Random access,Deletion from middle,Insertion at beginning,Sorting,Random access,Depends on list implementation.
list,What is a key feature of lists in Python?,Immutability,Dynamic sizing,Fixed length,Unordered elements,Dynamic sizing,Allows adding or removing elements.
list,How can you access the last element of a list in Python?,list[-1],list[0],list[length],list[end],list[-1],Negative indexing is a Python feature.
list,What happens if you append to a full fixed-size list?,It resizes automatically,It raises an exception,It overwrites data,It creates a new list,It raises an exception,Depends on language implementation.
array,What is an array in programming?,A collection of key-value pairs,An ordered collection of elements of the same type,A tree structure,A graph structure,An ordered collection of elements of the same type,Same as arrays above, repeated for keyword match.
array,What is a key feature of arrays?,Dynamic sizing,Fixed size in most languages,Unordered elements,Key-value mapping,Fixed size in most languages,Size is often defined at creation.
array,What is the time complexity for accessing an element in an array?,O(n),O(1),O(log n),O(n^2),O(1),Direct indexing provides constant time access.
array,What is a limitation of arrays?,Fast insertion at the beginning,Fixed size in many languages,Dynamic resizing,Random access,Fixed size in many languages,Resizing requires copying.
array,What operation can cause an array to overflow?,Appending beyond capacity,Accessing an element,Sorting the array,Searching an element,Appending beyond capacity,Leads to errors in fixed-size arrays.
interface,What is an interface in programming?,A concrete class,A contract for methods classes must implement,A loop structure,A data type,A contract for methods classes must implement,Ensures consistency.
interface,What keyword defines an interface in Java?,interface,class,struct,enum,interface,Specifies abstract methods.
interface,What is a benefit of using interfaces?,Increased complexity,Loose coupling,More memory usage,Slower execution,Loose coupling,Promotes modularity.
interface,Can an interface have method implementations in Java 8+?,No,Yes with default methods,Never,Only with static methods,Yes with default methods,Introduced in Java 8.
interface,What is a use case for interfaces?,Fixed data,Polymorphism,Random access,Filtering data,Polymorphism,Enables multiple implementations.
function,What is a function in programming?,A variable type,A reusable block of code with a specific task,A data structure,A loop structure,A reusable block of code with a specific task,Promotes modularity.
function,What keyword defines a function in Python?,def,func,function,declare,def,Standard syntax in Python.
function,What is a benefit of using functions?,Increased complexity,Code reusability,More memory usage,Slower execution,Code reusability,Reduces redundancy.
function,What is a parameter in a function?,Return value,Input to the function,Loop variable,Data type,Input to the function,Allows customization.
function,What is a return value?,Input parameter,Output of the function,Loop condition,Variable scope,Output of the function,Provides result to caller.
pointer,What is a pointer in programming?,A variable storing a memory address,A loop structure,A data type,A sorting algorithm,A variable storing a memory address,Used in low-level languages.
pointer,What symbol is used to declare a pointer in C?,*,&,%,#,*,Denotes pointer type.
pointer,What is a use case for pointers?,Fixed data,Dynamic memory allocation,Random access,Filtering data,Dynamic memory allocation,Manages memory efficiently.
pointer,What is a risk of using pointers?,Improved performance,Memory leaks,Low memory usage,Simple design,Memory leaks,Requires careful management.
pointer,What does dereferencing a pointer do?,Allocates memory,Accesses the value at the memory address,Deletes memory,Sorts memory,Accesses the value at the memory address,Uses the * operator in C.
dictionary,What is a dictionary in programming?,A sorted list,A key-value pair data structure,A tree structure,A graph structure,A key-value pair data structure,Also called a map.
dictionary,What is a key feature of dictionaries?,Fixed size,Fast lookups,Unordered elements,Slow access,Fast lookups,Uses hashing for efficiency.
dictionary,What is a common operation in a dictionary?,Random access,Inserting key-value pairs,Sorting elements,Filtering data,Inserting key-value pairs,Core functionality.
dictionary,What is a limitation of dictionaries?,Fast access,Memory overhead,Low memory usage,Simple design,Memory overhead,Depends on hash table size.
dictionary,What language uses dictionaries natively?,Python,SQL,HTML,CSS,Python,Built-in dict type.
abstraction,What is abstraction in OOP?,Exposing all details,Hiding complexity and showing essentials,Sorting data,Filtering data,Hiding complexity and showing essentials,Simplifies interaction.
abstraction,What is a tool for abstraction?,Abstract class,Loop structure,Fixed data,Random access,Abstract class,Provides a blueprint.
abstraction,What is a benefit of abstraction?,Increased complexity,Simplified design,More memory usage,Slower execution,Simplified design,Reduces cognitive load.
abstraction,What is a use case for abstraction?,Fixed data,Database layers,Random access,Filtering data,Database layers,Hides implementation details.
abstraction,What is a limitation of abstraction?,Improved performance,Loss of control,Low memory usage,Fast execution,Loss of control,May hide necessary details.
virtual function,What is a virtual function in C++?,A function that can be overridden in derived classes,A static function,A loop function,A fixed function,A function that can be overridden in derived classes,Enables runtime polymorphism.
virtual function,What keyword defines a virtual function?,virtual,static,private,public,virtual,Marks the function for overriding.
virtual function,What is a use case for virtual functions?,Fixed data,Dynamic behavior,Random access,Filtering data,Dynamic behavior,Supports polymorphism.
virtual function,What is a requirement for virtual functions?,Same signature in base and derived,Fixed signature,Different signatures,Static binding,Same signature in base and derived,Ensures proper overriding.
virtual function,What is a limitation of virtual functions?,Improved performance,Overhead from vtable,Low memory usage,Fast execution,Overhead from vtable,Impacts performance slightly.
module,What is a module in programming?,A standalone program,A file containing reusable code,A loop structure,A data type,A file containing reusable code,Promotes modularity.
module,What keyword imports a module in Python?,import,include,require,load,import,Standard syntax in Python.
module,What is a benefit of using modules?,Increased complexity,Code organization,More memory usage,Slower execution,Code organization,Improves maintainability.
module,What is a use case for modules?,Fixed data,Library creation,Random access,Filtering data,Library creation,Shares functionality.
module,What is a limitation of modules?,Improved performance,Dependency management,Low memory usage,Fast execution,Dependency management,Requires careful handling.
prototype,What is a prototype in JavaScript?,A loop structure,An object from which others inherit properties,A data type,A sorting algorithm,An object from which others inherit properties,Core to JavaScript inheritance.
prototype,What property accesses an object's prototype?,__proto__,__init__,__class__,__type__,__proto__,Links to parent prototype.
prototype,What is a benefit of using prototypes?,Increased complexity,Memory efficiency,More memory usage,Slower execution,Memory efficiency,Shares methods across instances.
prototype,What is a use case for prototypes?,Fixed data,Inheritance,Random access,Filtering data,Inheritance,Extends functionality.
prototype,What is a limitation of prototypes?,Improved performance,Complexity in debugging,Low memory usage,Fast execution,Complexity in debugging,Prototype chain can be tricky.
structure,What is a structure in programming?,A loop structure,A user-defined data type grouping variables,A sorting algorithm,A database query,A user-defined data type grouping variables,Common in C with 'struct'.
structure,What keyword defines a structure in C?,struct,class,interface,enum,struct,Groups related data.
structure,What is a benefit of using structures?,Increased complexity,Data organization,More memory usage,Slower execution,Data organization,Improves readability.
structure,What is a limitation of structures?,Improved performance,Lack of methods,Low memory usage,Fast execution,Lack of methods,Not as powerful as classes.
structure,What is a use case for structures?,Fixed data,Record keeping,Random access,Filtering data,Record keeping,Stores heterogeneous data.
lambda function,What is a lambda function in programming?,A named function,An anonymous function defined inline,A loop structure,A data type,An anonymous function defined inline,Concise syntax.
lambda function,What keyword defines a lambda function in Python?,lambda,def,func,function,lambda,Creates small functions.
lambda function,What is a use case for lambda functions?,Fixed data,Sorting with custom keys,Random access,Filtering data,Sorting with custom keys,Used with map/filter.
lambda function,What is a benefit of lambda functions?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Reduces boilerplate code.
lambda function,What is a limitation of lambda functions?,Improved performance,Limited complexity,Low memory usage,Fast execution,Limited complexity,Best for simple operations.
encapsulation,What is encapsulation in OOP?,Exposing all data,Bundling data and methods with access control,A sorting algorithm,A data structure,Bundling data and methods with access control,Protects data integrity.
encapsulation,What is a tool for encapsulation?,Private access modifier,Public access,Fixed data,Random access,Private access modifier,Limits direct access.
encapsulation,What is a benefit of encapsulation?,Increased complexity,Data protection,More memory usage,Slower execution,Data protection,Prevents misuse.
encapsulation,What is a use case for encapsulation?,Fixed data,Secure APIs,Random access,Filtering data,Secure APIs,Controls data access.
encapsulation,What is a limitation of encapsulation?,Improved performance,Added complexity,Low memory usage,Fast execution,Added complexity,Requires careful design.
template,What is a template in C++?,A loop structure,A blueprint for creating generic classes/functions,A data type,A sorting algorithm,A blueprint for creating generic classes/functions,Enables type flexibility.
template,What keyword defines a template in C++?,template,class,struct,enum,template,Precedes the definition.
template,What is a benefit of using templates?,Increased complexity,Type safety,More memory usage,Slower execution,Type safety,Ensures compile-time checks.
template,What is a use case for templates?,Fixed data,Generic programming,Random access,Filtering data,Generic programming,Creates reusable code.
template,What is a limitation of templates?,Improved performance,Code bloat,Low memory usage,Fast execution,Code bloat,Generates multiple instantiations.
set,What is a set in programming?,A sorted list,A collection of unique elements,A tree structure,A graph structure,A collection of unique elements,Eliminates duplicates.
set,What is a key feature of sets?,Duplicates allowed,Unordered unique elements,Fixed size,Slow access,Unordered unique elements,Order may vary.
set,What is a common operation in a set?,Random access,Adding elements,Sorting elements,Filtering data,Adding elements,Ensures uniqueness.
set,What is a limitation of sets?,Fast access,Lack of indexing,Low memory usage,Simple design,Lack of indexing,No direct position access.
set,What language uses sets natively?,Python,SQL,HTML,CSS,Python,Built-in set type.
linked list,What is a linked list?,A collection of nodes where each node points to the next,A fixed-size array,A tree-based structure,A hash table,A collection of nodes where each node points to the next,Memory is not contiguous.
linked list,What is a disadvantage of linked lists?,Fast random access,Slow random access due to traversal,Fixed size,High memory overhead,Slow random access due to traversal,Requires traversal.
linked list,What operation is efficient in a linked list?,Inserting at the end,Random access,Deleting from middle,Sorting,Inserting at the end,If tail pointer is maintained.
linked list,How are nodes connected in a linked list?,By indices,By pointers,By keys,By values,By pointers,Each node references the next.
linked list,What is a singly linked list’s space complexity?,O(1),O(n) per node,O(log n),O(n^2),O(n) per node,Includes data and pointer.
exception handling,What is exception handling in programming?,Sorting errors,Managing runtime errors gracefully,Filtering data,Compressing data,Managing runtime errors gracefully,Prevents crashes.
exception handling,What keyword catches exceptions in Python?,try,catch,except,throw,except,Handles specific errors.
exception handling,What is a benefit of exception handling?,Increased complexity,Robustness,More memory usage,Slower execution,Robustness,Improves reliability.
exception handling,What is a use case for exception handling?,Fixed data,File operations,Random access,Filtering data,File operations,Handles I/O errors.
exception handling,What is a limitation of exception handling?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Adds try-catch cost.
list comprehension,What is a list comprehension in Python?,A loop structure,A concise way to create lists,A data type,A sorting algorithm,A concise way to create lists,Syntactic sugar.
list comprehension,What is the syntax for list comprehension?,[expr for item in iterable],[item in iterable],[for item in iterable],[expr in iterable],[expr for item in iterable],Compact loop replacement.
list comprehension,What is a benefit of list comprehension?,Increased complexity,Readability,More memory usage,Slower execution,Readability,Reduces boilerplate code.
list comprehension,What is a use case for list comprehension?,Fixed data,Filtering lists,Random access,Filtering data,Filtering lists,Creates new lists efficiently.
list comprehension,What is a limitation of list comprehension?,Improved performance,Limited complexity,Low memory usage,Fast execution,Limited complexity,Not suited for complex logic.
overloading,What is method overloading in programming?,Overriding a method,Defining multiple methods with the same name but different parameters,Sorting methods,Filtering methods,Defining multiple methods with the same name but different parameters,Enhances flexibility.
overloading,What language supports method overloading?,Java,Python,JavaScript,SQL,Java,Compile-time polymorphism.
overloading,What is a benefit of overloading?,Increased complexity,Code clarity,More memory usage,Slower execution,Code clarity,Improves readability.
overloading,What is a requirement for overloading?,Same return type,Different parameter lists,Same parameter lists,Different method names,Different parameter lists,Distinguishes methods.
overloading,What is a limitation of overloading?,Improved performance,Potential confusion,Low memory usage,Fast execution,Potential confusion,Requires careful naming.
callback,What is a callback in programming?,A loop structure,A function passed as an argument to another function,A data type,A sorting algorithm,A function passed as an argument to another function,Enables asynchronous behavior.
callback,What language commonly uses callbacks?,JavaScript,SQL,HTML,CSS,JavaScript,Core to event handling.
callback,What is a benefit of using callbacks?,Increased complexity,Asynchronous execution,More memory usage,Slower execution,Asynchronous execution,Handles events.
callback,What is a use case for callbacks?,Fixed data,Event handling,Random access,Filtering data,Event handling,Responds to user actions.
callback,What is a limitation of callbacks?,Improved performance,Callback hell,Low memory usage,Fast execution,Callback hell,Nested callbacks reduce readability.
generator,What is a generator in programming?,A loop structure,A function that yields values one at a time,A data type,A sorting algorithm,A function that yields values one at a time,Memory efficient.
generator,What keyword defines a generator in Python?,yield,def,func,function,yield,Pauses execution.
generator,What is a benefit of using generators?,Increased complexity,Memory efficiency,More memory usage,Slower execution,Memory efficiency,Generates values on demand.
generator,What is a use case for generators?,Fixed data,Lazy evaluation,Random access,Filtering data,Lazy evaluation,Processes large datasets.
generator,What is a limitation of generators?,Improved performance,Single iteration,Low memory usage,Fast execution,Single iteration,Cannot rewind.
abstract class,What is an abstract class in OOP?,A class that can be instantiated,A class that cannot be instantiated directly,A loop structure,A data type,A class that cannot be instantiated directly,Provides a blueprint.
abstract class,What keyword defines an abstract class in Java?,abstract,class,interface,enum,abstract,Prevents instantiation.
abstract class,What is a benefit of using abstract classes?,Increased complexity,Code reusability,More memory usage,Slower execution,Code reusability,Shares common behavior.
abstract class,What is a use case for abstract classes?,Fixed data,Defining templates,Random access,Filtering data,Defining templates,Ensures implementation.
abstract class,What is a limitation of abstract classes?,Improved performance,Single inheritance in Java,Low memory usage,Fast execution,Single inheritance in Java,Limits flexibility.
stack,What is a stack in data structures?,A LIFO data structure,A FIFO data structure,A tree structure,A graph structure,A LIFO data structure,Last In, First Out.
stack,What operation adds an element to a stack?,Push,Pop,Enqueue,Dequeue,Push,Adds to the top.
stack,What is a use case for stacks?,Random access,Function call management,Filtering data,Sorting data,Function call management,Manages recursion.
stack,What is the time complexity of push operation?,O(n),O(1),O(log n),O(n^2),O(1),Constant time operation.
stack,What is a limitation of stacks?,Fast random access,Limited access pattern,Low memory usage,Fast execution,Limited access pattern,Only top element accessible.
tuple,What is a tuple in programming?,A mutable list,An immutable ordered collection,A tree structure,A graph structure,An immutable ordered collection,Cannot be modified after creation.
tuple,What is a key feature of tuples in Python?,Mutability,Immutability,Unordered elements,Dynamic sizing,Immutability,Ensures data integrity.
tuple,What is a use case for tuples?,Random access,Fixed data records,Filtering data,Sorting data,Fixed data records,Stores related data.
tuple,What is the time complexity for accessing a tuple element?,O(n),O(1),O(log n),O(n^2),O(1),Direct indexing.
tuple,What is a limitation of tuples?,Fast access,Immutability,Low memory usage,Fast execution,Immutability,Cannot modify elements.
promise,What is a Promise in JavaScript?,A loop structure,An object representing eventual completion of an async operation,A data type,A sorting algorithm,An object representing eventual completion of an async operation,Handles asynchronous results.
promise,What method handles a fulfilled Promise?,then,catch,resolve,reject,then,Processes successful results.
promise,What is a use case for Promises?,Fixed data,Asynchronous operations,Random access,Filtering data,Asynchronous operations,Handles API calls.
promise,What is a benefit of using Promises?,Increased complexity,Avoiding callback hell,More memory usage,Slower execution,Avoiding callback hell,Improves readability.
promise,What is a limitation of Promises?,Improved performance,Error handling complexity,Low memory usage,Fast execution,Error handling complexity,Requires careful catch blocks.
destructor,What is a destructor in programming?,A method called when an object is destroyed,A loop structure,A data type,A sorting algorithm,A method called when an object is destroyed,Frees resources.
destructor,What symbol defines a destructor in C++?,~,*,&,%,~,Same name as class with ~ prefix.
destructor,What is a use case for destructors?,Fixed data,Resource cleanup,Random access,Filtering data,Resource cleanup,Closes files or connections.
destructor,What is a benefit of destructors?,Increased complexity,Automatic cleanup,More memory usage,Slower execution,Automatic cleanup,Ensures resource release.
destructor,What is a limitation of destructors?,Improved performance,Lack of control in some languages,Low memory usage,Fast execution,Lack of control in some languages,Not all languages have them.
method overriding,What is method overriding in OOP?,Defining a method in a subclass with the same name as in the parent,Defining multiple methods with the same name,Sorting methods,Filtering methods,Defining a method in a subclass with the same name as in the parent,Enables runtime polymorphism.
method overriding,What keyword is used in Java for overriding?,override,virtual,super,this,super,Refers to parent method.
method overriding,What is a use case for method overriding?,Fixed data,Custom behavior,Random access,Filtering data,Custom behavior,Tailors functionality.
method overriding,What is a requirement for method overriding?,Different signatures,Same method signature,Static methods,Private methods,Same method signature,Ensures proper override.
method overriding,What is a limitation of method overriding?,Improved performance,Potential complexity,Low memory usage,Fast execution,Potential complexity,Requires careful design.
queue,What is a queue in data structures?,A LIFO data structure,A FIFO data structure,A tree structure,A graph structure,A FIFO data structure,First In, First Out.
queue,What operation adds an element to a queue?,Push,Pop,Enqueue,Dequeue,Enqueue,Adds to the rear.
queue,What is a use case for queues?,Random access,Task scheduling,Filtering data,Sorting data,Task scheduling,Manages order.
queue,What is the time complexity of enqueue operation?,O(n),O(1),O(log n),O(n^2),O(1),Constant time operation.
queue,What is a limitation of queues?,Fast random access,Limited access pattern,Low memory usage,Fast execution,Limited access pattern,Only front and rear access.
file i/o,What does file I/O refer to in programming?,Sorting files,Reading from and writing to files,Filtering data,Compressing data,Reading from and writing to files,Handles external storage.
file i/o,What function opens a file in Python?,open(),read(),write(),close(),open(),Returns a file object.
file i/o,What is a use case for file I/O?,Random access,Logging data,Filtering data,Sorting data,Logging data,Stores program output.
file i/o,What is a risk of file I/O?,Improved performance,File corruption,Low memory usage,Fast execution,File corruption,Requires error handling.
file i/o,What mode allows writing to a file in Python?,'r','w','a','r+','w',Overwrites the file.
arrow function,What is an arrow function in JavaScript?,A named function,A concise anonymous function with => syntax,A loop structure,A data type,A concise anonymous function with => syntax,Introduced in ES6.
arrow function,What is a feature of arrow functions?,Has 'this' binding,No 'this' binding,Fixed scope,Static typing,No 'this' binding,Lexical 'this' binding.
arrow function,What is a use case for arrow functions?,Fixed data,Array methods,Random access,Filtering data,Array methods,Used with map/filter.
arrow function,What is a benefit of arrow functions?,Increased complexity,Conciseness,More memory usage,Slower execution,Conciseness,Reduces boilerplate code.
arrow function,What is a limitation of arrow functions?,Improved performance,Lack of 'this' flexibility,Low memory usage,Fast execution,Lack of 'this' flexibility,Not suited for methods.
stl,What does STL stand for in C++?,Standard Template Library,System Template Library,Standard Type Library,Structured Template Library,Standard Template Library,Collection of generic classes.
stl,What is a component of the STL?,Vector,Class,Loop,Function,Vector,Dynamic array implementation.
stl,What is a benefit of using STL?,Increased complexity,Code reusability,More memory usage,Slower execution,Code reusability,Provides tested components.
stl,What is a use case for STL?,Fixed data,Container management,Random access,Filtering data,Container management,Handles collections.
stl,What is a limitation of STL?,Improved performance,Learning curve,Low memory usage,Fast execution,Learning curve,Requires familiarity.
dynamic memory allocation,What is dynamic memory allocation?,Allocating memory at compile time,Allocating memory at runtime,Sorting memory,Filtering memory,Allocating memory at runtime,Flexible memory use.
dynamic memory allocation,What operator allocates memory in C++?,new,alloc,malloc,free,new,Returns a pointer.
dynamic memory allocation,What is a use case for dynamic memory allocation?,Fixed data,Resizable arrays,Random access,Filtering data,Resizable arrays,Adapts to needs.
dynamic memory allocation,What is a risk of dynamic memory allocation?,Improved performance,Memory leaks,Low memory usage,Fast execution,Memory leaks,Requires manual freeing.
