Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note,Explanation
big o notation,What is the time complexity of nested loops over n elements?,O(n),O(1),O(log n),O(n²),O(n²),Exponential increase,"Nested loops where both run n times result in n × n = n² iterations, leading to quadratic time complexity, which becomes impractical for large n."
big o notation,Which of the following is NOT affected by Big O notation?,Runtime for small n,Asymptotic behavior,Scalability,Worst-case analysis,Runtime for small n,Focused on large-scale behavior,"Big O notation abstracts away constants and lower-order terms, focusing on asymptotic behavior (i.e., how an algorithm behaves as n approaches infinity)."
big o notation,What is a benefit of understanding Big O notation?,Improves coding speed,Enables better algorithm selection,Reduces code length,Enhances team collaboration,Enables better algorithm selection,Guides decision-making,"Understanding Big O helps developers choose the most efficient algorithms and data structures, especially when dealing with large amounts of data or performance-sensitive applications."
big o notation,What is a limitation of Big O notation?,Ignores actual runtime,Ignores constants,Hard to calculate,Too complex for beginners,Ignores constants,Approximation only,Big O notation provides an approximation of performance trends but doesn’t account for constant factors or real-world execution overhead like CPU caching or disk access.
big o notation,What is the space complexity of an algorithm that uses a fixed-size array?,O(n),O(1),O(log n),O(n²),O(1),Memory independent of input,"Space complexity refers to the amount of memory an algorithm uses. If it uses a fixed-size array regardless of input size, the space complexity is constant, O(1)."
big o notation,What is the space complexity of an algorithm that creates a new array of size n?,O(n),O(1),O(log n),O(n²),O(n),Memory scales with input,"If an algorithm allocates memory proportional to the input size, such as creating a new array of size n, its space complexity is O(n)."
big o notation,What is the Big O of an algorithm that performs exactly 5 steps regardless of input size?,O(5),O(n),O(1),O(log n),O(1),Constant time operation,"Any algorithm whose runtime remains constant regardless of input size is described as O(1), even if it performs multiple fixed steps."
big o notation,What is the time complexity of inserting an element at the end of an array (without resizing)?,O(n),O(1),O(log n),O(n²),O(1),Direct indexing possible,"If the array has enough space, appending to the end takes constant time since no shifting or searching is required."
big o notation,What is the time complexity of searching for an element in an unsorted array?,O(n),O(1),O(log n),O(n²),O(n),Requires full scan,"In an unsorted array, there's no shortcut to finding an element without potentially scanning the entire array, resulting in linear time complexity."
big o notation,What is the Big O of an algorithm that halves the input size at each step?,O(n),O(1),O(log n),O(n²),O(log n),Highly efficient,"Algorithms like binary search reduce the problem size by half each iteration, resulting in logarithmic time complexity, which is very efficient for large inputs."
algorithm,What is an algorithm?,A programming language,A set of instructions to solve a problem,A type of data structure,A hardware component,A set of instructions to solve a problem,Defines a process to achieve a specific task.,"An algorithm is a well-defined sequence of steps or rules designed to solve a particular problem or perform a specific task. It takes input, processes it through logical operations, and produces output. Algorithms are fundamental in computer science and mathematics because they provide clarity and repeatability in solving computational tasks."
algorithm,What is a characteristic of a good algorithm?,Infinite steps,Ambiguity,Finiteness,Random output,Finiteness,Ensures the algorithm terminates.,"A good algorithm must have the property of finiteness, meaning it should terminate after a finite number of steps. This ensures that the algorithm does not run indefinitely and provides a solution within a reasonable time frame. Finiteness is crucial for practical applications where resources like time and memory are limited."
algorithm,What is the purpose of algorithm analysis?,To write code,To measure efficiency,To design hardware,To debug code,To measure efficiency,Focuses on time and space complexity.,"Algorithm analysis is the process of evaluating how efficient an algorithm is in terms of time (runtime) and space (memory usage). By analyzing algorithms, developers can compare different approaches to solving the same problem and choose the most efficient one. This helps in optimizing performance, especially for large datasets or resource-constrained environments."
algorithm,What is a common algorithm design technique?,Divide and conquer,Random guessing,Infinite looping,Manual coding,Divide and conquer,Breaks problems into smaller subproblems.,"The divide and conquer technique is a powerful algorithmic paradigm where a problem is divided into smaller subproblems, which are solved independently, and then combined to form the final solution. Examples include merge sort and quicksort. This approach often leads to efficient solutions, especially for problems that can be broken down into similar subproblems."
algorithm,What does an algorithm's correctness ensure?,Fast execution,Expected output,Minimal code,Low memory use,Expected output,Guarantees the solution matches the problem.,"Algorithm correctness refers to whether an algorithm produces the correct output for all valid inputs. A correct algorithm ensures that it solves the problem as intended without errors or unexpected behavior. This is critical for reliability, especially in systems where incorrect outputs could lead to significant consequences."
algorithm,Which of the following is NOT a characteristic of an algorithm?,Input,Output,Ambiguity,Definiteness,Ambiguity,Algorithms must be unambiguous.,"An algorithm must be definite and unambiguous, meaning each step must be clear and precise. Ambiguity would make it impossible to determine what actions to take at certain points, leading to inconsistent or incorrect results. Characteristics of an algorithm include input, output, definiteness, finiteness, and effectiveness."
algorithm,What is the primary goal of algorithm design?,Minimize code length,Maximize speed,Ensure correctness,Balance efficiency and correctness,Balance efficiency and correctness,Strives for optimal performance.,"The primary goal of algorithm design is to create solutions that are both correct and efficient. While correctness ensures the algorithm solves the problem accurately, efficiency focuses on minimizing runtime and resource usage. Striking a balance between these two aspects is crucial for developing practical and scalable algorithms."
algorithm,What is a limitation of brute-force algorithms?,High accuracy,Scalability,Efficiency,Simplicity,Efficiency,Often inefficient for large inputs.,"Brute-force algorithms systematically check all possible solutions to find the correct one. While they are simple to implement and guarantee correctness, they can be highly inefficient, especially for large input sizes. Their time complexity is often exponential, making them impractical for real-world applications involving large datasets."
algorithm,What is the role of pseudocode in algorithm design?,Optimizing code,Debugging code,Designing algorithms,Compiling code,Designing algorithms,Helps visualize the logic.,Pseudocode is a high-level description of an algorithm that uses natural language and simple constructs to outline the steps of a solution. It serves as a blueprint for designing algorithms before writing actual code. Pseudocode helps developers focus on the logic and flow of the algorithm without getting bogged down by syntax details.
algorithm,What is the difference between an algorithm and a program?,"Algorithms are written in code, programs are not","Algorithms are abstract, programs are concrete","Algorithms are sequential, programs are parallel","Algorithms are hardware-dependent, programs are not","Algorithms are abstract, programs are concrete","Algorithms are conceptual, programs are executable.","An algorithm is an abstract, step-by-step procedure for solving a problem, independent of any specific programming language or implementation. A program, on the other hand, is the concrete implementation of an algorithm in a specific programming language. Programs are executable, while algorithms are the underlying logic that guides the program's behavior."
algorithm,What is the significance of asymptotic notation in algorithm analysis?,Measures exact runtime,Describes growth rate,Determines hardware compatibility,Calculates memory usage,Describes growth rate,Analyzes scalability.,"Asymptotic notation (e.g., Big O, Omega, Theta) is used in algorithm analysis to describe the growth rate of an algorithm's runtime or space usage as the input size increases. It helps developers understand how an algorithm will scale with larger inputs, focusing on the dominant term rather than exact constants or lower-order terms."
algorithm,What is a greedy algorithm?,An algorithm that solves problems recursively,An algorithm that makes locally optimal choices,An algorithm that divides problems into subproblems,An algorithm that backtracks to find solutions,An algorithm that makes locally optimal choices,Prioritizes immediate benefits.,"A greedy algorithm makes decisions based on the best immediate choice at each step, hoping that these local optima will lead to a global optimum. While greedy algorithms are often fast and simple, they do not always produce the best overall solution, especially when future choices depend on previous ones."
algorithm,What is the difference between deterministic and non-deterministic algorithms?,Deterministic algorithms are faster,Non-deterministic algorithms are more accurate,Deterministic algorithms produce the same output for the same input,Non-deterministic algorithms require less memory,Deterministic algorithms produce the same output for the same input,Predictable behavior.,"A deterministic algorithm always produces the same output for a given input, following a fixed sequence of steps. Non-deterministic algorithms, on the other hand, may produce different outputs for the same input due to randomness or branching paths. Deterministic algorithms are predictable and easier to test, while non-deterministic algorithms can explore multiple possibilities simultaneously."
algorithm,What is the role of heuristics in algorithm design?,Ensure correctness,Improve efficiency,Reduce memory usage,Increase accuracy,Improve efficiency,Guides decision-making.,Heuristics are problem-solving strategies or rules of thumb that help guide algorithms toward efficient solutions. They do not guarantee the best solution but often provide good approximations quickly. Heuristics are particularly useful in optimization problems where finding the exact solution is computationally expensive.
algorithm,What is the time complexity of a linear search algorithm?,O(1),O(log n),O(n),O(n²),O(n),Scales linearly with input size.,"Linear search involves checking each element in a list sequentially until the target is found or the end of the list is reached. In the worst case, the algorithm must examine every element, resulting in a time complexity of O(n), where n is the size of the input list. This makes linear search inefficient for large datasets."
algorithm,What is the space complexity of an iterative algorithm compared to a recursive algorithm?,Iterative algorithms use more space,Recursive algorithms use more space,Both use the same amount of space,Space complexity is unrelated to algorithm type,Recursive algorithms use more space,Recursion requires stack space.,"Recursive algorithms typically use more space due to the overhead of maintaining function call stacks. Each recursive call adds a new layer to the stack, consuming additional memory. Iterative algorithms, on the other hand, generally use less space because they rely on loops instead of recursive calls, avoiding the need for stack frames."
algorithm,What is the principle behind dynamic programming?,Divide and conquer,Memoization,Greedy choice,Backtracking,Memoization,Avoids redundant calculations.,"Dynamic programming is a technique used to optimize algorithms by storing the results of expensive function calls and reusing them when the same inputs occur again. This approach, known as memoization, avoids redundant computations and significantly improves efficiency, especially for problems with overlapping subproblems."
algorithm,What is the difference between depth-first search (DFS) and breadth-first search (BFS)?,DFS is faster than BFS,BFS explores nodes level by level,DFS uses more memory than BFS,BFS is better for unweighted graphs,BFS explores nodes level by level,Traversal strategies.,"Depth-first search (DFS) explores as far as possible along each branch before backtracking, while breadth-first search (BFS) explores all the neighbors at the current depth before moving to the next level. BFS is ideal for finding the shortest path in an unweighted graph, whereas DFS is better suited for problems requiring deep exploration, such as detecting cycles."
algorithm,What is the role of base cases in recursive algorithms?,Define the recursion limit,Handle edge cases,Prevent infinite recursion,Optimize performance,Prevent infinite recursion,Termination condition.,"Base cases in recursive algorithms define the conditions under which the recursion stops. Without proper base cases, recursive calls would continue indefinitely, leading to a stack overflow. Base cases ensure that the algorithm eventually reaches a point where no further recursion is needed, allowing the function to return a result and unwind the call stack."
algorithm,What is the significance of NP-complete problems in algorithm design?,They can be solved in polynomial time,They are easy to solve,They are the hardest problems in NP,They are unsolvable,They are the hardest problems in NP,Challenging problems.,"NP-complete problems are a class of problems that are considered the hardest in the NP (nondeterministic polynomial time) complexity class. If an efficient (polynomial-time) solution exists for any NP-complete problem, then all problems in NP can be solved efficiently. These problems are significant because many real-world challenges, such as the traveling salesman problem, belong to this category."
algorithm,What is the advantage of using divide and conquer algorithms?,Simplifies debugging,Reduces memory usage,Improves cache performance,Enables parallel processing,Enables parallel processing,Leverages multi-core systems.,"Divide and conquer algorithms break problems into smaller subproblems, which can be solved independently. This property makes them well-suited for parallel processing, as different subproblems can be computed concurrently on multi-core processors. Parallel processing can significantly reduce the overall runtime, especially for large-scale computations."
algorithm,What is the role of approximation algorithms in solving NP-hard problems?,Provide exact solutions,Guarantee optimal solutions,Find near-optimal solutions efficiently,Solve in polynomial time,Find near-optimal solutions efficiently,Practical solutions for hard problems.,"Approximation algorithms are used to solve NP-hard problems by providing solutions that are close to the optimal solution but can be computed in polynomial time. These algorithms trade off optimality for efficiency, making them practical for real-world applications where finding the exact solution is computationally infeasible."
scala,What is Scala primarily known for?,Combining functional and object-oriented programming,Being a purely procedural language,Low-level system programming,Static web pages,Combining functional and object-oriented programming,Scala is a multi-paradigm programming language that blends functional and object-oriented programming.,"Scala is designed to integrate functional programming concepts with object-oriented features, allowing developers to write concise, expressive, and type-safe code. This combination makes Scala suitable for both small scripts and large-scale applications."
scala,What is a key feature of Scala?,Dynamic typing,Static typing,No type inference,Limited collections,Static typing,Scala emphasizes static typing to ensure type safety at compile time.,"Scala's static typing system provides strong guarantees about the types of values at compile time, reducing runtime errors. It also supports type inference, which allows developers to omit explicit type annotations in many cases."
scala,What is the purpose of the 'val' keyword in Scala?,To declare a mutable variable,To declare an immutable variable,To define a class,To create a loop,To declare an immutable variable,The 'val' keyword in Scala is used to declare immutable variables.,"In Scala, 'val' is used to define variables whose values cannot be changed once assigned. This immutability helps prevent unintended side effects and enhances thread safety in concurrent programs."
scala,What is a common use case for Scala?,Front-end development,Big data processing with Spark,Database management,Low-level drivers,Big data processing with Spark,Scala is widely used in big data processing frameworks like Apache Spark.,"Scala is the primary language for Apache Spark, a powerful framework for distributed data processing. Its functional programming capabilities make it well-suited for handling large datasets efficiently."
scala,What does Scala's 'case class' provide?,Manual getter//setter methods,Automatic boilerplate code,Dynamic typing,Low-level access,Automatic boilerplate code,Case classes in Scala simplify immutable data structures by generating boilerplate code automatically.,"Scala's case classes automatically generate useful methods such as equals, hashCode, toString, and copy. They are particularly useful for creating immutable data structures and pattern matching."
scala,What is a benefit of using Scala's pattern matching?,Increased complexity,Improved readability,More memory usage,Slower execution,Improved readability,Pattern matching in Scala enhances code clarity and conciseness.,"Scala's pattern matching allows developers to match complex data structures and extract values in a clean, declarative way. This makes the code more readable and easier to maintain compared to traditional if-else chains or switch statements."
scala,What is the difference between 'val' and 'var' in Scala?,"'val' is mutable, 'var' is immutable","'val' is immutable, 'var' is mutable",Both are immutable,Both are mutable,"'val' is immutable, 'var' is mutable",Scala distinguishes between immutable ('val') and mutable ('var') variables.,"In Scala, 'val' declares immutable variables, while 'var' declares mutable variables. Using 'val' promotes immutability, which is beneficial for concurrency and reduces unintended side effects."
scala,What is a trait in Scala?,A class,An interface,A function,A data structure,An interface,Traits in Scala are similar to interfaces in Java but can include method implementations.,"Traits allow multiple inheritance in Scala by enabling a class to mix in behavior from multiple traits. Unlike Java interfaces, traits can contain both abstract and concrete methods, making them more flexible."
scala,What is the purpose of the 'sealed' keyword in Scala?,To declare a public class,To restrict subclassing,To enable polymorphism,To define a trait,To restrict subclassing,The 'sealed' keyword in Scala limits where subclasses can be defined.,"When a class or trait is marked as 'sealed', all its subclasses must be defined in the same file. This ensures better control over inheritance and simplifies pattern matching by guaranteeing exhaustiveness checks."
scala,What is a higher-order function in Scala?,A function that takes no arguments,A function that returns a value,A function that takes functions as arguments or returns functions,A function that runs asynchronously,A function that takes functions as arguments or returns functions,Higher-order functions are a core concept in functional programming.,"In Scala, higher-order functions can accept other functions as parameters or return functions as results. This enables powerful abstractions and compositional programming, making code more modular and reusable."
scala,What is the significance of the 'for-yield' construct in Scala?,Iterates over collections without returning a result,Iterates over collections and collects results into a new collection,Executes loops indefinitely,Performs parallel operations,Iterates over collections and collects results into a new collection,The 'for-yield' construct in Scala is used for transforming collections.,"The 'for-yield' syntax allows developers to iterate over collections, apply transformations, and collect the results into a new collection. It is particularly useful for list comprehensions and functional-style programming."
scala,What is a monad in Scala?,A type of loop,A data structure,A design pattern for handling side effects,A primitive data type,A design pattern for handling side effects,Monads in Scala encapsulate computations with side effects in a pure functional way.,"Monads provide a way to sequence operations that have side effects (like I//O or state changes) while maintaining referential transparency. Common monads in Scala include Option, Either, and Future."
scala,What is the role of implicit conversions in Scala?,To convert data types explicitly,To enable automatic type conversions,To define private methods,To declare constants,To enable automatic type conversions,Implicit conversions in Scala allow seamless interoperability between types.,"Implicit conversions let Scala automatically convert one type to another when needed, enhancing expressiveness and flexibility. However, they should be used judiciously to avoid ambiguity."
scala,What is the purpose of the 'lazy val' in Scala?,To declare a mutable variable,To declare an immutable variable that is evaluated lazily,To define a class,To create a loop,To declare an immutable variable that is evaluated lazily,Lazy vals defer computation until the value is actually needed.,A 'lazy val' in Scala delays the evaluation of an expression until it is first accessed. This is useful for expensive computations or when the value may not always be needed during program execution.
scala,What is the difference between 'map' and 'flatMap' in Scala?,"'map' flattens collections, 'flatMap' maps elements","'map' applies a function to each element, 'flatMap' flattens nested collections",Both are the same,"'map' filters elements, 'flatMap' maps elements","'map' applies a function to each element, 'flatMap' flattens nested collections",Map and flatMap are fundamental operations in functional programming.,"The 'map' function applies a transformation to each element of a collection, while 'flatMap' applies a transformation that produces a collection and then flattens the result into a single collection."
scala,What is the significance of the 'Try' monad in Scala?,Handles asynchronous operations,Manages exceptions gracefully,Performs parallel computations,Stores configuration settings,Manages exceptions gracefully,The Try monad in Scala provides a functional way to handle exceptions.,"The 'Try' monad wraps either a successful result ('Success') or an exception ('Failure'), allowing developers to handle errors in a more composable and functional manner without relying on traditional try-catch blocks."
scala,What is a partial function in Scala?,A function that takes partial arguments,A function that may not be defined for all inputs,A function that runs partially,A function that returns partial results,A function that may not be defined for all inputs,Partial functions are useful for defining functions that are only valid for certain inputs.,A partial function in Scala is defined using the 'PartialFunction' trait and is only applicable to specific input patterns. It can be safely applied using methods like 'isDefinedAt' to check if the input is valid.
scala,What is the purpose of the 'App' trait in Scala?,To define a class,To create a main method,To declare a trait,To define a function,To create a main method,The App trait in Scala simplifies writing command-line applications.,"By extending the 'App' trait, Scala automatically provides a main method, allowing developers to focus on application logic without manually implementing the entry point."
scala,What is the advantage of using Scala's actor model for concurrency?,Shared memory access,Message passing,Global locks,Single-threaded execution,Message passing,Scala's actor model promotes message-based communication for concurrency.,"Actors in Scala communicate via message passing, avoiding shared mutable state and reducing the risk of race conditions. This model is inspired by the Actor Model of concurrency and is implemented through Akka."
scala,What is the purpose of the 'implicit' keyword in Scala?,To declare a constant,To enable automatic type conversions,To define a private method,To declare a mutable variable,To enable automatic type conversions,Implicit parameters and conversions enhance Scala's expressiveness.,"The 'implicit' keyword allows Scala to automatically insert missing parameters or perform type conversions when needed, making code more concise and flexible. However, overuse can lead to hidden dependencies."
scala,What is the significance of the 'Future' monad in Scala?,Handles synchronous operations,Manages blocking operations,Performs asynchronous computations,Stores configuration settings,Performs asynchronous computations,"The Future monad in Scala facilitates non-blocking, asynchronous programming.","The 'Future' monad represents a computation that will eventually produce a result. It is commonly used for handling asynchronous operations, such as network requests or long-running tasks, without blocking the calling thread."
scala,What is the purpose of the 'Either' type in Scala?,To represent a union type,To handle errors,To store configuration settings,To define a class,To handle errors,The Either type in Scala is used for error handling in a functional way.,The 'Either' type represents a value that can be one of two possibilities: 'Left' for errors or 'Right' for successful results. This makes it ideal for propagating errors through a chain of operations without resorting to exceptions.
scala,What is the advantage of using Scala's type system?,Reduces runtime performance,Increases complexity,Enhances type safety,Simplifies debugging,Enhances type safety,Scala's robust type system helps catch errors at compile time.,"Scala's type system, combined with features like type inference and pattern matching, ensures that many potential bugs are caught early in the development process. This leads to more reliable and maintainable code."
class,What is a class in object-oriented programming?,A loop structure,A blueprint for creating objects,A sorting algorithm,A database query,A blueprint for creating objects,A class defines properties and methods that can be used to create multiple instances or objects.,"In object-oriented programming, a class serves as a template or blueprint for creating objects. It encapsulates data (attributes) and behavior (methods), allowing developers to model real-world entities in an organized way."
class,What keyword is used to define a class in Java?,class,struct,interface,enum,class,The 'class' keyword is fundamental to OOP in Java and many other languages like C++ and C#.,"In Java, the 'class' keyword is used to declare a new class. This allows you to define custom types with fields and methods that can be instantiated into objects."
class,What is a feature of a class?,Encapsulation,Random access,Fixed size,Unordered data,Encapsulation,Encapsulation bundles data and methods together within a class and restricts direct access to some components.,"Encapsulation is one of the four pillars of OOP. It allows a class to hide its internal state and expose only what is necessary through methods, improving security and maintainability."
class,What is a class constructor used for?,Sorting objects,Initializing objects,Deleting objects,Filtering objects,Initializing objects,Constructors are special methods used to initialize objects when they are created.,"A constructor has the same name as the class and no return type. It is automatically called when an object is instantiated, setting up initial values and configurations for the object."
class,What can a class inherit from?,Another class,A variable,A loop,A function,Another class,"Inheritance allows a class to reuse functionality defined in another class, promoting code reuse and modularity.","Through inheritance, a subclass can inherit fields and methods from a superclass. This forms a hierarchy where more specialized classes build upon more general ones."
class,Which of the following best describes abstraction in the context of classes?,Hiding implementation details,Allowing multiple constructors,Using primitive data types,Optimizing memory usage,Hiding implementation details,Abstraction simplifies complex systems by hiding unnecessary details and exposing only essential features.,Abstraction allows developers to focus on what a class does rather than how it does it. This improves usability and reduces complexity in large software systems.
class,What is polymorphism in relation to classes?,One object only,Multiple forms of a method,Static variables,Private constructors,Multiple forms of a method,Polymorphism allows a single interface to represent different underlying forms or classes.,Polymorphism enables methods to perform different actions based on the object it is acting upon. This is often achieved through method overriding and interfaces.
class,What is a static method in a class?,A method that belongs to an instance,A method that belongs to the class itself,A method that cannot return a value,A method that must be overridden,A method that belongs to the class itself,Static methods can be accessed without creating an instance of the class.,"Static methods are associated with the class, not with any particular instance. They are often used for utility functions or operations that don't depend on instance-specific data."
class,What is a private member of a class?,Accessible anywhere,Accessible only within the class,Accessible to subclasses,Accessible outside the package,Accessible only within the class,Private members ensure data integrity by restricting access to internal logic and variables.,"Private access modifier ensures that certain variables or methods are hidden from external use, preventing unauthorized access and manipulation of internal states."
class,What is a getter method used for in a class?,To modify data directly,To retrieve the value of a private field,To delete an object,To override a constructor,To retrieve the value of a private field,Getters provide controlled access to private fields while maintaining encapsulation.,Getter methods allow safe read-only access to private variables. This maintains encapsulation while enabling external code to obtain current values.
class,What is a setter method used for in a class?,To retrieve data only,To validate and assign values to private fields,To delete an object,To override a constructor,To validate and assign values to private fields,"Setters allow controlled modification of private fields, often including validation logic.",Setter methods provide a way to update private variables while ensuring that invalid values are rejected or handled appropriately.
class,What is a default constructor?,A constructor with parameters,A constructor without parameters,A constructor declared private,A constructor that throws an error,A constructor without parameters,"If no constructor is explicitly defined, most languages provide a default constructor automatically.","A default constructor initializes an object with default values. If none is provided, the compiler typically generates one that sets fields to their default states."
class,What is a final class?,A class that cannot have methods,A class that cannot be extended,A class that cannot be instantiated,A class that must be extended,A class that cannot be extended,"Final classes prevent inheritance, often used for security or immutability purposes.","Marking a class as final prevents other classes from inheriting from it, ensuring its implementation remains unchanged."
class,What is an abstract class?,A fully implemented class,A class that cannot be instantiated directly,A class with only public methods,A class with only static methods,A class that cannot be instantiated directly,Abstract classes serve as base classes and may contain abstract methods that must be implemented by subclasses.,Abstract classes are used to define a common interface for related classes. They can include both implemented and unimplemented (abstract) methods.
class,What is a nested class?,A class inside a method,A class inside another class,A class with no methods,A class with no fields,A class inside another class,Nested classes help organize code and increase encapsulation by logically grouping related classes.,"Nested or inner classes are useful for defining helper classes that are only relevant within the scope of the outer class, improving readability and maintainability."
class,What is a sealed class?,A class that cannot be inherited,A class that can only be inherited by specific subclasses,A class that must be inherited,A class that is always abstract,A class that can only be inherited by specific subclasses,"Sealed classes restrict which other classes can inherit from them, enhancing type safety.",Sealed classes allow developers to control inheritance hierarchies by specifying exactly which subclasses are allowed to extend them.
class,What is a singleton class?,A class that allows unlimited instances,A class that allows only one instance,A class that cannot be extended,A class with no methods,A class that allows only one instance,Singleton classes ensure that only one instance of a class exists throughout the application lifecycle.,"Singleton pattern is used when exactly one object is needed to coordinate actions across a system, such as configuration managers or logging services."
class,What is composition in object-oriented design?,Creating a class using inheritance,Including objects of other classes as members,Overriding a method,Defining a class as final,Including objects of other classes as members,Composition promotes reusability by combining objects to create more complex functionality.,"Rather than relying solely on inheritance, composition allows building complex classes by including other objects as parts, leading to more flexible and maintainable designs."
class,What is an interface in relation to classes?,A complete class,A contract defining method signatures,A sealed class,A private class,A contract defining method signatures,Interfaces define what methods a class must implement but do not provide implementations themselves.,"Interfaces allow multiple classes to adhere to the same behavioral contract, enabling polymorphism and decoupling between components."
class,What is a factory method in a class?,A method that deletes an object,A method that creates and returns an object,A method that modifies existing objects,A method that validates user input,A method that creates and returns an object,Factory methods encapsulate object creation logic within a class.,"Factory methods provide a centralized way to instantiate objects, allowing subclasses to alter the type of objects created while keeping client code unaware of implementation details."
variables,What is a variable in programming?,A fixed value,A storage location with a name and type,A loop structure,A sorting algorithm,A storage location with a name and type,Variables are fundamental elements used to store data during program execution.,"In programming, a variable is a named storage location that holds a value which can change during program execution. Variables allow developers to manipulate data dynamically by associating names with memory locations. Each variable has a data type that determines what kind of data it can hold, such as integers, strings, or objects."
variables,What keyword declares a variable in Python?,var,let,def,There is no keyword,There is no keyword,Python uses implicit declaration for variables without requiring special keywords.,"Unlike languages like JavaScript or Java, Python does not require a keyword like 'var' or 'let' to declare variables. Instead, a variable is created simply by assigning a value to a name. This makes the syntax cleaner but also requires careful naming to avoid unintended behavior."
variables,What is a benefit of using variables?,Hardcoding values,Code reusability,Increased complexity,Fixed data,Code reusability,Variables promote dynamic data manipulation and improve code maintainability.,"By using variables, developers can write flexible and reusable code. Instead of hardcoding values directly into logic, variables allow the same piece of code to handle different inputs, making programs more adaptable and easier to maintain over time."
variables,What is the scope of a variable?,Its data type,Its visibility in the program,Its memory size,Its default value,Its visibility in the program,Scope determines where a variable can be accessed within the code.,"The scope of a variable defines the portion of the program where the variable is accessible. Local variables are only visible within the function or block they are declared in, while global variables can be accessed from anywhere in the program. Understanding scope is crucial for writing bug-free and modular code."
variables,What happens if a variable is undeclared in JavaScript?,It is automatically declared,It throws an error,It becomes global,It defaults to null,It throws an error,Strict mode enforces proper variable declaration to prevent accidental globals.,"In JavaScript's strict mode, attempting to use a variable without declaring it with 'var', 'let', or 'const' will result in a ReferenceError. This helps catch common bugs early and encourages better coding practices by avoiding unintentional global variables."
variables,What is a local variable?,A variable accessible throughout the program,A variable defined inside a function or block,A variable that never changes,A variable with static typing,A variable defined inside a function or block,Local variables exist only within the scope in which they are declared.,"Local variables are declared within functions or blocks and are only accessible within those boundaries. Once the function or block ends, the variable is destroyed, helping manage memory and avoid naming conflicts across different parts of a program."
variables,What is a global variable?,A variable scoped to a function,A variable accessible throughout the program,A variable used for loops,A variable with a fixed size,A variable accessible throughout the program,Global variables are defined outside any function and can be accessed anywhere in the code.,"Global variables have program-wide accessibility and retain their value throughout the application’s lifecycle. While convenient, excessive use of global variables can lead to tight coupling between components and make debugging more difficult due to potential side effects."
variables,What is a risk of using global variables?,Improved performance,Unintended modifications,Low memory usage,Fast execution,Unintended modifications,Global variables are vulnerable to being changed unexpectedly from any part of the program.,"Since global variables can be accessed and modified from any part of the program, they increase the risk of unintended changes, especially in large applications or when working in teams. This can lead to bugs that are difficult to trace and fix."
