global variable,"A global variable is accessible throughout the program.","It’s defined outside functions or classes, often at the top.","A Python global: count = 0; def increment(): global count; count += 1;","Minimize global variables to avoid unintended side effects."
polymorphic method,"A polymorphic method behaves differently based on the object.","It’s typically achieved through method overriding.","A Java polymorphic method: class Animal { void sound() { }; } class Cat extends Animal { void sound() { System.out.println('Meow'); } }","Polymorphic methods enable flexible, extensible code."
heap,"A heap is a tree-based data structure with a specific order property.","In a max-heap, parent nodes are larger than children; min-heap is the opposite.","A Python heap: import heapq; h = [5, 2, 9]; heapq.heapify(h); print(heapq.heappop(h))","Heaps are used in priority queues and heap sort."
string formatting,"String formatting constructs strings by embedding values.","It makes output readable by combining text and data.","A Python f-string: name = 'Alice'; print(f'Hello, {name}!')","F-strings in Python are more readable than older .format() methods."
friend function,"A friend function in C++ can access private members of a class.","It’s declared with the 'friend' keyword, breaking encapsulation for specific use.","A C++ friend function: class Box { private: int x; friend void show(Box b); }; void show(Box b) { cout << b.x; }","Use friend functions sparingly to maintain encapsulation."
overloaded constructor,"An overloaded constructor provides multiple ways to initialize an object.","It differs by parameter types or count, like method overloading.","A Java overloaded constructor: class Point { int x, y; Point() { x = y = 0; } Point(int a, int b) { x = a; y = b; } }","Overloaded constructors improve object creation flexibility."
hash table,"A hash table stores key-value pairs using a hash function.","It provides fast lookups by mapping keys to indices.","A Python hash table (dict): table = {'key1': 'value1'}; table['key2'] = 'value2';","Hash collisions can be resolved with chaining or open addressing."
spread operator,"The spread operator in JavaScript expands elements.","It’s used to copy arrays/objects or pass multiple arguments.","A JavaScript spread: let arr1 = [1, 2]; let arr2 = [...arr1, 3, 4]; console.log(arr2);","Spread operator is shallow—nested objects are not deeply copied."
multithreading,"Multithreading runs multiple threads in a program concurrently.","It improves performance by parallelizing tasks.","A Python thread: import threading; def task(): print('Running'); t = threading.Thread(target=task); t.start();","Use locks to avoid race conditions in multithreading."
avl tree,"An AVL tree is a self-balancing binary search tree.","It ensures the height difference between subtrees is at most 1.","A Python AVL node: class AVLNode: def __init__(self, key): self.key = key; self.height = 1","AVL trees guarantee O(log n) operations through balancing."
deque,"A deque (double-ended queue) allows adding/removing from both ends.","It’s efficient for both queue and stack operations.","A Python deque: from collections import deque; d = deque([1, 2]); d.appendleft(0);","Deques are versatile for problems needing flexible access."
tree,"A tree is a hierarchical data structure with nodes and edges.","It starts with a root and branches into children, used for hierarchies.","A Python tree node: class TreeNode: def __init__(self, value): self.value = value; self.children = []","Trees are foundational for algorithms like DFS and BFS."
zip function,"The zip function pairs elements from multiple iterables.","It creates an iterator of tuples, useful for parallel iteration.","A Python zip: names = ['Alice', 'Bob']; scores = [90, 85]; paired = list(zip(names, scores));","Zip stops at the shortest iterable—extend with itertools.zip_longest."
trie,"A trie is a tree-like structure for storing strings.","It’s efficient for prefix-based searches, like autocomplete.","A Python trie node: class TrieNode: def __init__(self): self.children = {}; self.is_end = False","Tries trade space for speed in string operations."
lambda expression,"A lambda expression is a concise anonymous function.","It’s used for inline operations, often in functional programming.","A Java lambda: (a, b) -> a + b; System.out.println(((a, b) -> a + b).apply(3, 4));","Lambdas improve readability for short, functional tasks."
abstract class,"An abstract class cannot be instantiated and may have abstract methods.","It provides a base for subclasses to implement specific behavior.","A Java abstract class: abstract class Shape { abstract void draw(); }; class Circle extends Shape { void draw() { } }","Abstract classes can mix abstract and concrete methods."
binary search,"Binary search finds an element in a sorted array by halving the search space.","It requires the data to be sorted, achieving O(log n) complexity.","A Python binary search: def binary_search(arr, x): l, r = 0, len(arr)-1; while l <= r: mid = (l+r)//2; if arr[mid] == x: return mid","Binary search is efficient but requires sorted input."
dataframe,"A DataFrame is a 2D data structure in libraries like pandas.","It’s like a table with rows and columns, used for data analysis.","A Python DataFrame: import pandas as pd; df = pd.DataFrame({'A': [1, 2], 'B': [3, 4]})","DataFrames are powerful for data manipulation and analysis."
annotation,"An annotation adds metadata to code, often for configuration.","It’s used in Java for things like marking methods or classes.","A Java annotation: @Override public String toString() { return 'Example'; }","Annotations don’t affect runtime behavior but aid tools and frameworks."
unit testing,"Unit testing verifies individual components of a program.","It ensures each unit (e.g., function) works as expected.","A Python unit test: import unittest; class TestMath(unittest.TestCase): def test_add(self): self.assertEqual(1 + 1, 2)","Write unit tests to catch bugs early in development."
type inference,"Type inference allows a compiler to deduce variable types.","It reduces explicit type declarations, improving code brevity.","A Scala type inference: val x = 42; // inferred as Int","Type inference makes code cleaner but can obscure types if overused."
numpy array,"A NumPy array is a powerful array structure in Python for numerical operations.","It supports multi-dimensional arrays and vectorized operations.","A Python NumPy array: import numpy as np; arr = np.array([1, 2, 3]); print(arr * 2)","NumPy arrays are faster than Python lists for math operations."
garbage collection,"Garbage collection automatically frees memory of unused objects.","It prevents memory leaks by tracking object references.","A Java garbage collection hint: System.gc(); // Suggests garbage collection","Garbage collection reduces manual memory management but may add overhead."
sorting,"Sorting arranges elements in a specific order, like ascending.","It’s a fundamental operation in algorithms, with methods like quicksort.","A Python sort: arr = [3, 1, 2]; arr.sort(); print(arr)","Choose sorting algorithms based on data size and stability needs."
api,"An API (Application Programming Interface) allows different systems to communicate.","It defines methods and data formats for interaction.","A Python API call: import requests; response = requests.get('https://api.example.com/data')","APIs are key for integrating third-party services."
disjoint set,"A disjoint set (union-find) tracks elements in disjoint groups.","It’s used for problems like detecting cycles in graphs.","A Python disjoint set: def find(parent, x): if parent[x] != x: parent[x] = find(parent, parent[x]); return parent[x]","Disjoint sets are efficient with path compression and union by rank."
enum,"An enum defines a set of named constants.","It’s used to represent fixed values, like days or states.","A Java enum: enum Day { MONDAY, TUESDAY }; Day today = Day.MONDAY;","Enums improve type safety and readability."
kruskal's,"Kruskal’s algorithm finds the minimum spanning tree of a graph.","It sorts edges by weight and adds them if they don’t form a cycle.","A Python Kruskal snippet: edges.sort(); # Sort edges by weight for Kruskal’s","Kruskal’s is efficient for sparse graphs."
metaclass,"A metaclass is a class of a class, defining how classes behave.","It’s used for advanced customization in Python.","A Python metaclass: class Meta(type): pass; class MyClass(metaclass=Meta): pass","Metaclasses are powerful but complex—use sparingly."
fenwick tree,"A Fenwick tree (Binary Indexed Tree) efficiently updates and queries prefix sums.","It’s used for dynamic cumulative frequency tables.","A Python Fenwick update: def update(index, val, bit): while index <= n: bit[index] += val","Fenwick trees are compact and fast for range queries."
class method,"A class method operates on the class itself, not instances.","It’s defined using a decorator and takes the class as the first argument.","A Python class method: class MyClass: @classmethod def from_string(cls, s): return cls(s)","Class methods are useful for alternative constructors."
huffman coding,"Huffman coding is a compression algorithm using variable-length codes.","It assigns shorter codes to frequent symbols.","A Python Huffman step: # Build frequency table: freq = {}; for char in data: freq[char] = freq.get(char, 0) + 1","Huffman coding is optimal for lossless compression."
multiprocessing,"Multiprocessing runs multiple processes for parallelism.","It bypasses Python’s GIL for true concurrency.","A Python multiprocessing: from multiprocessing import Process; def task(): print('Running'); p = Process(target=task); p.start();","Multiprocessing is CPU-intensive—use for heavy computations."
reflection,"Reflection inspects and modifies code structure at runtime.","It’s used for dynamic behavior, like accessing method names.","A Java reflection: Class<?> c = Class.forName('MyClass'); Method m = c.getMethod('myMethod');","Reflection is powerful but slow—use judiciously."
bellman ford,"Bellman-Ford algorithm finds shortest paths in a weighted graph.","It handles negative weights, unlike Dijkstra’s.","A Python Bellman-Ford step: for i in range(V-1): for u, v, w in edges: dist[v] = min(dist[v], dist[u] + w)","Bellman-Ford detects negative cycles."
hash function,"A hash function maps data to a fixed-size value.","It’s used in hash tables for quick data retrieval.","A Python hash: def hash_func(s): return sum(ord(c) for c in s) % 10; print(hash_func('key'))","Good hash functions minimize collisions."
segment tree,"A segment tree is a tree for storing intervals or segments.","It enables efficient range queries and updates.","A Python segment tree build: def build(arr, tree, node, start, end): if start == end: tree[node] = arr[start]","Segment trees are versatile for range-based problems."
floyd warshall,"Floyd-Warshall algorithm finds shortest paths between all pairs of nodes.","It works with negative weights but not negative cycles.","A Python Floyd-Warshall: for k in range(V): for i in range(V): for j in range(V): dist[i][j] = min(dist[i][j], dist[i][k] + dist[k][j])","Floyd-Warshall has O(V^3) complexity."
lru cache,"An LRU cache (Least Recently Used) evicts the least recently used items.","It’s used in caching systems to optimize memory.","A Python LRU cache: from functools import lru_cache; @lru_cache(maxsize=128) def fib(n): return n if n < 2 else fib(n-1) + fib(n-2)","LRU caches balance speed and memory usage."
websocket,"A WebSocket provides a persistent, bidirectional connection.","It enables real-time communication between client and server.","A JavaScript WebSocket: let ws = new WebSocket('ws://example.com'); ws.onmessage = (event) => console.log(event.data);","WebSockets are ideal for chat apps or live updates."
immutability,"Immutability means an object’s state cannot change after creation.","It ensures thread safety and predictability.","A Python immutable tuple: coords = (10, 20); # Cannot modify coords[0]","Immutability reduces bugs in concurrent programs."
dataclasses,"Dataclasses in Python simplify class creation with default behaviors.","They auto-generate methods like __init__ for data storage.","A Python dataclass: from dataclasses import dataclass; @dataclass class Point: x: int; y: int","Dataclasses reduce boilerplate for data-heavy classes."
bigint,"BigInt handles large integers beyond standard number limits.","It’s used for precise arithmetic in JavaScript.","A JavaScript BigInt: let big = BigInt(9007199254740991); console.log(big + 1n);","BigInt avoids precision loss with large numbers."
fold expression,"A fold expression in C++ applies an operator over a parameter pack.","It simplifies variadic template operations.","A C++ fold: template<typename... Args> auto sum(Args... args) { return (args + ...); }","Fold expressions make variadic templates more concise."
memory management,"Memory management handles allocation and deallocation of memory.","It ensures efficient use of resources during execution.","A C++ memory management: int* ptr = new int[10]; delete[] ptr;","Proper memory management prevents leaks and crashes."
divide and conquer,"Divide and Conquer breaks problems into smaller subproblems.","It solves subproblems recursively, then combines solutions.","A Python merge sort: def merge_sort(arr): if len(arr) <= 1: return arr; mid = len(arr)//2","Divide and Conquer is key for algorithms like quicksort."
pattern matching,"Pattern matching checks a value against a pattern.","It’s used in functional languages for control flow.","A Scala pattern match: def matchVal(x: Any): String = x match { case i: Int => 'Int'; case _ => 'Other' }","Pattern matching simplifies conditional logic."
sealed class,"A sealed class restricts which classes can inherit from it.","It’s used to define a closed hierarchy.","A Kotlin sealed class: sealed class Expr; class Const(val value: Int) : Expr()","Sealed classes are useful for exhaustive type checking."
backtracking,"Backtracking is an algorithm for solving problems incrementally.","It abandons partial solutions when they fail, backtracking to try others.","A Python backtracking: def solve(board): if not find_empty(board): return True; row, col = find_empty(board)","Backtracking is common in puzzles like Sudoku."
bit manipulation,"Bit manipulation operates on binary representations.","It uses bitwise operators for efficient computation.","A Python bit manipulation: x = 5; y = 3; result = x & y; print(result)","Bit manipulation is fast for low-level operations."
server-side rendering,"Server-side rendering generates HTML on the server.","It improves initial load time and SEO for web apps.","A React SSR snippet: import { renderToString } from 'react-dom/server'; const html = renderToString(<App />);","SSR enhances performance but may increase server load."
dynamic programming,"Dynamic programming solves problems by breaking them into overlapping subproblems.","It uses memoization or tabulation to store solutions.","A Python DP: def fib(n, memo={}): if n < 2: return n; if n in memo: return memo[n]; memo[n] = fib(n-1) + fib(n-2)","DP optimizes recursive problems like Fibonacci."
refactoring,"Refactoring improves code structure without changing behavior.","It enhances readability, maintainability, and performance.","A Python refactor: # Before: x = a + b; # After: result = add(a, b); def add(a, b): return a + b","Refactor regularly to keep code clean."
scalability,"Scalability is a system’s ability to handle increased load.","It involves designing for growth in users or data.","A scalable design: # Use load balancer: server1, server2 = split_traffic(requests)","Plan for scalability early to avoid future bottlenecks."
memory leak,"A memory leak occurs when memory isn’t freed properly.","It leads to increased memory usage over time.","A C++ memory leak: int* ptr = new int; // Forgot to delete ptr","Use tools like Valgrind to detect memory leaks."
code reusability,"Code reusability allows using code in multiple contexts.","It reduces duplication through functions, classes, or modules.","A Python reusable function: def calculate_area(length, width): return length * width","Reusability saves time and reduces errors."
microservices,"Microservices are small, independent services that work together.","They enable modular, scalable application design.","A microservice call: # Service A: requests.post('http://service-b/endpoint', data={'key': 'value'})","Microservices improve fault isolation but add complexity."
iterator,"An iterator provides a way to traverse a collection.","It abstracts the traversal process, like in loops.","A Python iterator: nums = [1, 2, 3]; it = iter(nums); print(next(it))","Iterators are the foundation for Python’s for loops."
debugging,"Debugging is the process of finding and fixing bugs.","It involves stepping through code and inspecting variables.","A Python debug print: x = 5; print(f'Debug: x = {x}'); y = x / 0","Use debuggers like gdb or IDE tools for efficiency."
data compression,"Data compression reduces the size of data.","It can be lossless (e.g., ZIP) or lossy (e.g., JPEG).","A Python compression: import zlib; compressed = zlib.compress(b'Hello');","Compression saves storage but may add processing overhead."
data encryption,"Data encryption secures data by converting it into an unreadable form.","It uses algorithms like AES to protect sensitive information.","A Python encryption: from cryptography.fernet import Fernet; key = Fernet.generate_key();","Always use strong keys and secure algorithms."
graphql,"GraphQL is a query language for APIs.","It allows clients to request exactly the data they need.","A GraphQL query: query { user(id: '1') { name } }","GraphQL reduces over-fetching compared to REST."
data visualization,"Data visualization presents data in graphical form.","It helps in understanding trends and patterns.","A Python visualization: import matplotlib.pyplot as plt; plt.plot([1, 2, 3], [4, 5, 6]);","Choose the right chart type for your data."
rest api,"A REST API uses HTTP methods to interact with resources.","It follows stateless, client-server architecture.","A Python REST call: import requests; response = requests.get('https://api.example.com/users')","REST APIs are widely used for their simplicity."
data cleaning,"Data cleaning removes or corrects erroneous data.","It ensures data quality for analysis.","A Python data cleaning: import pandas as pd; df = pd.DataFrame({'A': [1, None]}); df.fillna(0)","Clean data early to avoid skewed results."
automation,"Automation executes repetitive tasks programmatically.","It saves time and reduces human error.","A Python automation: import os; for file in os.listdir(): if file.endswith('.txt'): os.remove(file)","Automate wisely to avoid unintended consequences."
authorization,"Authorization determines what a user can access.","It’s often implemented with roles or permissions.","A Python authorization: if user.role == 'admin': access_granted = True","Use frameworks like OAuth for secure authorization."
logic programming,"Logic programming uses facts and rules to solve problems.","It’s based on formal logic, like in Prolog.","A Prolog rule: parent(X, Y) :- father(X, Y); mother(X, Y).","Logic programming is ideal for knowledge representation."
accessibility,"Accessibility ensures software is usable by people with disabilities.","It includes features like screen reader support.","An HTML accessibility: <button aria-label='Close'>X</button>","Follow WCAG guidelines for better accessibility."
seo optimization,"SEO optimization improves a website’s visibility on search engines.","It involves metadata, keywords, and fast loading.","An HTML meta tag: <meta name='description' content='Learn programming'>","SEO is critical for web applications."
code validation,"Code validation checks code against standards or rules.","It ensures correctness, like validating HTML.","A Python validation: from jsonschema import validate; schema = {'type': 'string'}; validate('test', schema)","Validation catches errors early in development."
machine learning,"Machine learning enables systems to learn from data.","It includes algorithms like regression and clustering.","A Python ML model: from sklearn.linear_model import LinearRegression; model = LinearRegression(); model.fit(X, y)","ML requires clean, well-prepared data."
reinforcement learning,"Reinforcement learning trains agents through rewards.","It’s used in robotics and game AI.","A Python RL setup: # Agent learns: action = agent.choose_action(state); reward = env.step(action)","RL often needs extensive tuning for good results."
data security,"Data security protects data from unauthorized access.","It includes encryption, access controls, and backups.","A Python secure hash: import hashlib; hash = hashlib.sha256(b'password').hexdigest();","Regularly update security measures to counter threats."
framework,"A framework provides a structure for building applications.","It offers reusable components and conventions.","A Flask app: from flask import Flask; app = Flask(__name__); @app.route('/') def home(): return 'Hello'","Frameworks speed up development but have a learning curve."
greedy algorithms,"Greedy algorithms make locally optimal choices at each step.","They aim for a global optimum, like in scheduling.","A Python greedy: # Coin change: coins = [10, 5, 1]; amount = 18; for coin in coins: while amount >= coin: amount -= coin","Greedy algorithms are fast but may not always find the best solution."
